date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-23 20:00:00,129.11,121.6702,125.3901,125.5644,45.5129,125.3901,-0.442,-0.8723,125.5
2021-02-23 19:00:00,129.2605,121.6578,125.4591,125.5689,45.9881,125.4591,-0.5375,-0.9799,125.69
2021-02-23 18:00:00,129.4167,121.6388,125.5278,125.5605,45.4374,125.5278,-0.6709,-1.0905,125.5
2021-02-23 17:00:00,129.8383,121.4985,125.6684,125.5647,44.7205,125.6684,-0.8122,-1.1953,125.25
2021-02-23 16:00:00,130.2143,121.4139,125.8141,125.5864,46.1265,125.8141,-0.9552,-1.2911,125.85
2021-02-23 15:00:00,130.5446,121.3336,125.9391,125.5682,45.5194,125.9391,-1.1849,-1.3751,125.63
2021-02-23 14:00:00,130.865,121.2813,126.0731,125.564,42.0164,126.0731,-1.4384,-1.4227,124.41
2021-02-23 13:00:00,131.1904,121.3185,126.2544,125.6435,34.4717,126.2544,-1.6169,-1.4187,122.15
2021-02-23 12:00:00,131.3417,121.6669,126.5043,125.8845,34.3987,126.5043,-1.5911,-1.3692,122.13
2021-02-23 11:00:00,131.3794,122.0955,126.7374,126.1434,37.422,126.7374,-1.533,-1.3137,123.63
2021-02-23 10:00:00,131.5118,122.3434,126.9276,126.3168,29.8753,126.9276,-1.5893,-1.2588,121.73
2021-02-23 09:00:00,131.5,122.9126,127.2063,126.6331,33.724,127.2063,-1.4445,-1.1762,123.59
2021-02-23 08:00:00,131.6029,123.2333,127.4181,126.8429,33.7918,127.4181,-1.4281,-1.1091,123.62
2021-02-23 07:00:00,131.7198,123.5711,127.6454,127.0652,32.6564,127.6454,-1.3895,-1.0294,123.36
2021-02-23 06:00:00,131.7793,123.9989,127.8891,127.3207,28.3626,127.8891,-1.2935,-0.9394,122.42
2021-02-23 05:00:00,131.6035,124.7214,128.1624,127.6587,32.1102,128.1624,-1.0564,-0.8508,124.2
2021-02-22 20:00:00,131.5257,125.1859,128.3558,127.8973,36.3339,128.3558,-0.9197,-0.7994,125.82
2021-02-22 19:00:00,131.6,125.4075,128.5038,128.0405,37.1802,128.5038,-0.8968,-0.7694,126.11
2021-02-22 18:00:00,131.6396,125.6252,128.6324,128.1737,36.8862,128.6324,-0.884,-0.7375,126.05
2021-02-22 17:00:00,131.5827,125.8789,128.7308,128.3201,37.0258,128.7308,-0.8487,-0.7009,126.1
2021-02-22 16:00:00,131.519,126.1519,128.8354,128.4732,36.6084,128.8354,-0.7964,-0.6639,126.01
2021-02-22 15:00:00,131.4185,126.4717,128.9451,128.6431,40.279,128.9451,-0.7089,-0.6308,127.29
2021-02-22 14:00:00,131.4128,126.6147,129.0138,128.7364,41.7655,129.0138,-0.7173,-0.6113,127.76
2021-02-22 13:00:00,131.444,126.7137,129.0789,128.8038,39.4539,129.0789,-0.7654,-0.5848,127.257
2021-02-22 12:00:00,131.4059,126.873,129.1395,128.9104,37.7833,129.1395,-0.7644,-0.5397,126.905
2021-02-22 11:00:00,131.3168,127.0725,129.1946,129.0488,32.7991,129.1946,-0.7162,-0.4835,125.9262
2021-02-22 10:00:00,131.0414,127.5328,129.2871,129.2641,41.1246,129.2871,-0.5445,-0.4253,128.485
2021-02-22 09:00:00,131.0462,127.5183,129.2823,129.3178,37.4985,129.2823,-0.5781,-0.3955,127.88
2021-02-22 08:00:00,131.0131,127.5957,129.3044,129.417,37.5725,129.3044,-0.5509,-0.3499,127.9
2021-02-22 07:00:00,130.9872,127.7303,129.3588,129.5216,35.418,129.3588,-0.5103,-0.2996,127.55
2021-02-22 06:00:00,130.9029,127.8913,129.3971,129.6576,35.4857,129.3971,-0.4154,-0.2469,127.57
2021-02-22 05:00:00,130.802,128.1129,129.4574,129.8016,36.0853,129.4574,-0.2902,-0.2048,127.75
2021-02-19 20:00:00,130.697,128.3185,129.5078,129.943,43.9405,129.5078,-0.1445,-0.1835,129.72
2021-02-19 19:00:00,130.697,128.3185,129.5078,129.9584,43.3353,129.5078,-0.1571,-0.1932,129.62
2021-02-19 18:00:00,130.714,128.3201,129.5171,129.9818,43.2167,129.5171,-0.1606,-0.2023,129.6
2021-02-19 17:00:00,130.8529,128.2666,129.5598,130.0081,43.4363,129.5598,-0.1608,-0.2127,129.65
2021-02-19 16:00:00,130.9642,128.2313,129.5978,130.0328,44.3068,129.5978,-0.1638,-0.2257,129.85
2021-02-19 15:00:00,131.066,128.1955,129.6308,130.0454,43.1785,129.6308,-0.1855,-0.2412,129.645
2021-02-19 14:00:00,131.1688,128.1717,129.6703,130.073,40.2085,129.6703,-0.1897,-0.2551,129.125
2021-02-19 13:00:00,131.2686,128.1862,129.7274,130.1384,41.046,129.7274,-0.1394,-0.2714,129.335
2021-02-19 12:00:00,131.3106,128.2116,129.7611,130.1938,44.2494,129.7611,-0.0945,-0.3044,130.09
2021-02-19 11:00:00,131.3437,128.2065,129.7751,130.201,43.4298,129.7751,-0.1127,-0.3569,129.945
2021-02-19 10:00:00,131.3726,128.2069,129.7898,130.2186,45.6443,129.7898,-0.1196,-0.4179,130.44
2021-02-19 09:00:00,131.3573,128.2095,129.7834,130.2033,46.7142,129.7834,-0.1769,-0.4925,130.67
2021-02-19 08:00:00,131.3817,128.1991,129.7904,130.1712,46.4504,129.7904,-0.271,-0.5714,130.62
2021-02-19 07:00:00,131.4049,128.1898,129.7974,130.1402,43.0726,129.7974,-0.3821,-0.6465,130.0
2021-02-19 06:00:00,131.5897,128.1144,129.852,130.1499,44.2029,129.852,-0.4551,-0.7126,130.26
2021-02-19 05:00:00,131.8716,127.9711,129.9214,130.1423,42.5782,129.9214,-0.5682,-0.7769,129.97
2021-02-18 20:00:00,132.1685,127.8443,130.0064,130.1542,36.6103,130.0064,-0.6748,-0.8291,129.0
2021-02-18 19:00:00,132.4198,127.8229,130.1214,130.2338,37.5436,130.1214,-0.7023,-0.8677,129.24
2021-02-18 18:00:00,132.669,127.7964,130.2327,130.3023,37.7763,130.2327,-0.7515,-0.909,129.3
2021-02-18 17:00:00,132.9035,127.7853,130.3444,130.3714,37.9658,130.3444,-0.8096,-0.9484,129.35
2021-02-18 16:00:00,133.1337,127.7837,130.4587,130.4419,39.3506,130.4587,-0.8769,-0.9831,129.7127
2021-02-18 15:00:00,133.381,127.7569,130.5689,130.4922,35.3425,130.5689,-0.9871,-1.0097,129.075
2021-02-18 14:00:00,133.5817,127.8158,130.6988,130.5899,31.8252,130.6988,-1.0485,-1.0153,128.56
2021-02-18 13:00:00,133.753,127.9512,130.8521,130.7299,32.2864,130.8521,-1.0591,-1.007,128.6999
2021-02-18 12:00:00,133.903,128.0989,131.001,130.8699,29.7549,131.001,-1.0715,-0.994,128.34
2021-02-18 11:00:00,133.9601,128.3472,131.1536,131.0444,30.3803,131.1536,-1.0351,-0.9746,128.545
2021-02-18 10:00:00,134.071,128.5649,131.318,131.2167,33.6669,131.318,-0.9945,-0.9595,129.53
2021-02-18 09:00:00,134.1798,128.6945,131.4371,131.333,27.2567,131.4371,-1.0285,-0.9507,128.7
2021-02-18 08:00:00,134.3614,128.8875,131.6245,131.5146,29.5156,131.6245,-0.9723,-0.9313,129.38
2021-02-18 07:00:00,134.6832,128.9434,131.8133,131.6619,28.5049,131.8133,-0.9558,-0.921,129.26
2021-02-18 06:00:00,135.0413,129.0079,132.0246,131.8275,30.1046,132.0246,-0.9086,-0.9123,129.72
2021-02-18 05:00:00,135.4339,129.0294,132.2316,131.9728,30.7575,132.2316,-0.8819,-0.9132,129.9
2021-02-17 20:00:00,135.846,129.0446,132.4453,132.1158,34.7208,132.4453,-0.8534,-0.9211,130.88
2021-02-17 19:00:00,136.209,129.0289,132.619,132.201,33.9654,132.619,-0.9043,-0.938,130.79
2021-02-17 18:00:00,136.5211,129.0675,132.7943,132.2983,34.1778,132.7943,-0.947,-0.9464,130.84
2021-02-17 17:00:00,136.7173,129.1774,132.9473,132.3989,34.0981,132.9473,-0.9928,-0.9463,130.83
2021-02-17 16:00:00,136.8798,129.3168,133.0983,132.5071,34.1381,133.0983,-1.0359,-0.9347,130.84
2021-02-17 15:00:00,137.0297,129.4749,133.2523,132.6221,30.2271,133.2523,-1.0767,-0.9093,130.345
2021-02-17 14:00:00,137.1082,129.7294,133.4188,132.7791,30.8167,133.4188,-1.0628,-0.8675,130.51
2021-02-17 13:00:00,137.1716,129.9907,133.5811,132.9356,29.814,133.5811,-1.0464,-0.8187,130.385
2021-02-17 12:00:00,137.1258,130.3175,133.7216,133.1115,28.7358,133.7216,-0.9976,-0.7617,130.25
2021-02-17 11:00:00,137.0105,130.7015,133.856,133.3089,30.873,133.856,-0.9069,-0.7028,130.8793
2021-02-17 10:00:00,136.9275,131.0132,133.9703,133.4764,30.4759,133.9703,-0.8421,-0.6517,130.8293
2021-02-17 09:00:00,136.8049,131.3678,134.0864,133.659,33.4917,134.0864,-0.7421,-0.6041,131.64
2021-02-17 08:00:00,136.7492,131.6175,134.1834,133.7982,36.5072,134.1834,-0.6861,-0.5696,132.34
2021-02-17 07:00:00,136.7109,131.7578,134.2344,133.8988,37.3429,134.2344,-0.676,-0.5405,132.52
2021-02-17 06:00:00,136.6914,131.9039,134.2977,133.9939,36.799,134.2977,-0.6716,-0.5066,132.45
2021-02-17 05:00:00,136.6677,132.0757,134.3717,134.1004,37.3815,134.3717,-0.6491,-0.4654,132.58
2021-02-16 20:00:00,136.6368,132.2406,134.4387,134.2052,37.6921,134.4387,-0.6241,-0.4195,132.65
2021-02-16 19:00:00,136.6036,132.4104,134.507,134.3125,38.2628,134.507,-0.5903,-0.3683,132.78
2021-02-16 18:00:00,136.5631,132.571,134.567,134.4182,39.3254,134.567,-0.5518,-0.3128,133.02
2021-02-16 17:00:00,136.5444,132.7156,134.63,134.5146,38.9842,134.63,-0.519,-0.253,132.97
2021-02-16 16:00:00,136.5114,132.8813,134.6964,134.6211,39.8066,134.6964,-0.4646,-0.1866,133.16
2021-02-16 15:00:00,136.4783,133.0305,134.7544,134.7219,39.828,134.7544,-0.4077,-0.1171,133.165
2021-02-16 14:00:00,136.4343,133.1934,134.8139,134.8292,38.2623,134.8139,-0.3296,-0.0444,132.9207
2021-02-16 13:00:00,136.3497,133.4246,134.8872,134.9609,40.5781,134.8872,-0.2003,0.0269,133.475
2021-02-16 12:00:00,136.2981,133.5336,134.9158,135.0633,38.1631,134.9158,-0.0889,0.0837,133.105
2021-02-16 11:00:00,136.1926,133.7111,134.9518,135.1984,43.8157,134.9518,0.0924,0.1268,134.32
2021-02-16 10:00:00,136.194,133.707,134.9505,135.259,47.9089,134.9505,0.1987,0.1355,135.045
2021-02-16 09:00:00,136.1888,133.7025,134.9457,135.2737,51.4668,134.9457,0.2577,0.1196,135.6
2021-02-16 08:00:00,136.1501,133.7083,134.9292,135.2512,53.7616,134.9292,0.2727,0.0851,135.93
2021-02-16 07:00:00,136.0637,133.7354,134.8996,135.2044,56.5692,134.8996,0.2543,0.0382,136.31
2021-02-16 06:00:00,135.9498,133.802,134.8759,135.1282,55.2617,134.8759,0.1885,-0.0158,136.09
2021-02-16 05:00:00,135.8621,133.8517,134.8569,135.0618,55.0237,134.8569,0.124,-0.0669,136.05
2021-02-12 20:00:00,135.8143,133.8815,134.8479,134.9937,51.1282,134.8479,0.0441,-0.1146,135.43
2021-02-12 19:00:00,135.857,133.8601,134.8586,134.9636,50.6619,134.8586,0.0045,-0.1542,135.36
2021-02-12 18:00:00,135.8846,133.8485,134.8666,134.9363,51.3384,134.8666,-0.0389,-0.1939,135.46
2021-02-12 17:00:00,135.8428,133.8543,134.8486,134.9001,50.5727,134.8486,-0.1039,-0.2327,135.34
2021-02-12 16:00:00,135.8362,133.8563,134.8462,134.8698,50.8305,134.8462,-0.1732,-0.2649,135.38
2021-02-12 15:00:00,135.8193,133.8612,134.8402,134.8346,45.6055,134.8402,-0.2632,-0.2878,134.6
2021-02-12 14:00:00,135.851,133.8755,134.8632,134.8508,43.2123,134.8632,-0.2949,-0.2939,134.28
2021-02-12 13:00:00,135.878,133.9204,134.8992,134.8902,43.3853,134.8992,-0.2984,-0.2937,134.31
2021-02-12 12:00:00,135.9275,133.9572,134.9423,134.9302,43.3853,134.9423,-0.3015,-0.2925,134.31
2021-02-12 11:00:00,135.925,134.0102,134.9676,134.9729,44.7237,134.9676,-0.3012,-0.2903,134.55
2021-02-12 10:00:00,135.9309,134.0399,134.9854,135.0021,39.6222,134.9854,-0.3208,-0.2875,133.87
2021-02-12 09:00:00,135.8979,134.1756,135.0367,135.0802,42.7036,135.0367,-0.272,-0.2792,134.42
2021-02-12 08:00:00,135.905,134.2309,135.068,135.1257,44.2145,135.068,-0.2616,-0.2811,134.67
2021-02-12 07:00:00,136.0736,134.1769,135.1253,135.1571,43.5972,135.1253,-0.2701,-0.2859,134.59
2021-02-12 06:00:00,136.2168,134.1545,135.1856,135.1963,44.248,135.1856,-0.2689,-0.2898,134.7
2021-02-12 05:00:00,136.3536,134.1343,135.244,135.2305,43.3563,135.244,-0.2746,-0.2951,134.58
2021-02-11 20:00:00,136.4686,134.144,135.3063,135.2753,45.2815,135.3063,-0.2656,-0.3002,134.91
2021-02-11 19:00:00,136.5892,134.13,135.3596,135.3005,45.5779,135.3596,-0.284,-0.3089,134.96
2021-02-11 18:00:00,136.684,134.1319,135.408,135.324,45.1615,135.408,-0.3083,-0.3151,134.9
2021-02-11 17:00:00,136.7173,134.1673,135.4423,135.3533,45.4416,135.4423,-0.3288,-0.3168,134.95
2021-02-11 16:00:00,136.7566,134.2,135.4783,135.3811,46.3872,135.4783,-0.3553,-0.3137,135.12
2021-02-11 15:00:00,136.802,134.2206,135.5113,135.3991,40.8976,135.5113,-0.4012,-0.3034,134.335
2021-02-11 14:00:00,136.8173,134.3342,135.5758,135.4725,39.7582,135.5758,-0.3741,-0.2789,134.185
2021-02-11 13:00:00,136.7733,134.4992,135.6363,135.5613,40.2331,135.6363,-0.3187,-0.2551,134.28
2021-02-11 12:00:00,136.8037,134.6319,135.7178,135.6496,43.5122,135.7178,-0.2531,-0.2392,134.9001
2021-02-11 11:00:00,136.8381,134.6984,135.7683,135.7013,44.6828,135.7683,-0.2288,-0.2357,135.1063
2021-02-11 10:00:00,136.8958,134.7387,135.8172,135.7424,44.2199,135.8172,-0.2154,-0.2374,135.0405
2021-02-11 09:00:00,136.9282,134.8016,135.8649,135.7908,47.4861,135.8649,-0.1885,-0.243,135.6
2021-02-11 08:00:00,137.0781,134.758,135.918,135.8039,46.9445,135.918,-0.2084,-0.2566,135.52
2021-02-11 07:00:00,137.1715,134.7592,135.9654,135.8235,48.5167,135.9654,-0.2226,-0.2686,135.78
2021-02-11 06:00:00,137.2032,134.7715,135.9874,135.8265,48.3236,135.9874,-0.264,-0.2801,135.75
2021-02-11 05:00:00,137.2343,134.7871,136.0107,135.8318,47.3698,136.0107,-0.31,-0.2841,135.6
2021-02-10 20:00:00,137.2793,134.8114,136.0454,135.8478,42.7383,136.0454,-0.3488,-0.2777,134.92
2021-02-10 19:00:00,137.2744,134.9263,136.1004,135.9117,44.6953,136.1004,-0.3241,-0.2599,135.27
2021-02-10 18:00:00,137.2738,135.001,136.1374,135.956,44.2013,136.1374,-0.3235,-0.2439,135.2
2021-02-10 17:00:00,137.2768,135.0913,136.184,136.0081,44.6975,136.184,-0.3108,-0.224,135.29
2021-02-10 16:00:00,137.2839,135.1762,136.23,136.0577,45.078,136.23,-0.2993,-0.2023,135.36
2021-02-10 15:00:00,137.2884,135.2597,136.274,136.1058,46.4062,136.274,-0.2874,-0.178,135.6035
