date,Upper BBand,Middle BBand,Lower BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-22 19:00:00,213.5519,200.387,187.2221,200.1235,37.7772,200.387,-5.4655,-4.6303,188.8
2021-02-22 18:00:00,214.9985,201.3153,187.6321,200.9044,37.5205,201.3153,-5.4294,-4.4215,188.5
2021-02-22 17:00:00,217.0307,202.4087,187.7867,201.7599,37.5205,202.4087,-5.2737,-4.1695,188.5
2021-02-22 16:00:00,218.5246,203.4716,188.4186,202.6743,37.2383,203.4716,-4.9983,-3.8934,188.15
2021-02-22 15:00:00,219.318,204.4744,189.6309,203.676,37.8619,204.4744,-4.5385,-3.6172,189.47
2021-02-22 14:00:00,219.9573,205.4261,190.8949,204.6557,39.2981,205.4261,-4.02,-3.3869,192.45
2021-02-22 13:00:00,219.9529,206.0744,192.196,205.4975,41.0456,206.0744,-3.6032,-3.2286,195.91
2021-02-22 12:00:00,220.3067,206.6774,193.0482,206.1587,41.8356,206.6774,-3.371,-3.135,197.43
2021-02-22 11:00:00,220.4743,207.1631,193.8519,206.7607,41.3835,207.1631,-3.1804,-3.076,196.8
2021-02-22 10:00:00,220.9044,207.8031,194.7019,207.4476,46.888,207.8031,-2.8267,-3.0499,206.645
2021-02-22 09:00:00,221.774,208.1816,194.5892,207.503,40.9968,208.1816,-3.3365,-3.1057,199.0
2021-02-22 08:00:00,222.1799,208.7486,195.3173,208.0894,41.58,208.7486,-3.1603,-3.048,200.0
2021-02-22 07:00:00,222.551,209.2819,196.0129,208.6473,42.1597,209.2819,-2.9913,-3.0199,201.0
2021-02-19 20:00:00,223.0086,209.8193,196.63,209.1747,43.8438,209.8193,-2.8338,-3.0271,203.85
2021-02-19 19:00:00,223.5832,210.2846,196.986,209.5419,43.8438,210.2846,-2.8818,-3.0754,203.85
2021-02-19 18:00:00,223.7473,210.614,197.4807,209.9345,43.8956,210.614,-2.9012,-3.1238,203.94
2021-02-19 17:00:00,223.83,210.912,197.994,210.3479,43.9234,210.912,-2.8929,-3.1794,203.99
2021-02-19 16:00:00,224.3311,211.3969,198.4627,210.7864,43.9028,211.3969,-2.8453,-3.251,203.96
2021-02-19 15:00:00,224.7502,211.8802,199.0102,211.2571,47.4498,211.8802,-2.74,-3.3525,210.265
2021-02-19 14:00:00,225.7465,212.3014,198.8563,211.3256,46.8341,212.3014,-3.2079,-3.5056,209.33
2021-02-19 13:00:00,226.6863,212.757,198.8278,211.4632,46.3138,212.757,-3.6631,-3.58,208.53
2021-02-19 12:00:00,227.4571,213.2147,198.9723,211.6655,45.5148,213.2147,-4.1094,-3.5592,207.29
2021-02-19 11:00:00,228.19,213.7287,199.2674,211.9672,42.5594,213.7287,-4.4931,-3.4217,202.855
2021-02-19 10:00:00,228.5444,214.3685,200.1925,212.5957,38.6886,214.3685,-4.4658,-3.1539,197.515
2021-02-19 09:00:00,228.0207,215.139,202.2573,213.6357,43.3205,215.139,-3.8223,-2.8259,206.2799
2021-02-19 08:00:00,228.2401,215.6287,203.0172,214.143,43.1103,215.6287,-3.8379,-2.5767,206.0
2021-02-18 20:00:00,228.1255,216.0167,203.9078,214.7046,40.0536,216.0167,-3.7734,-2.2615,202.02
2021-02-18 19:00:00,228.0619,216.763,205.464,215.5794,40.0589,216.763,-3.231,-1.8835,202.03
2021-02-18 18:00:00,228.6055,217.6988,206.7921,216.5138,41.8929,217.6988,-2.4927,-1.5466,205.5
2021-02-18 17:00:00,228.9049,218.4311,207.9573,217.2734,38.9741,218.4311,-1.8674,-1.3101,201.75
2021-02-18 16:00:00,228.3458,219.3058,210.2658,218.344,48.2909,219.3058,-0.6603,-1.1707,216.65
2021-02-18 15:00:00,228.6865,219.5505,210.4144,218.4608,52.0441,219.5505,-0.6271,-1.2984,221.3
2021-02-18 14:00:00,228.8076,219.6075,210.4073,218.265,51.3273,219.6075,-1.0491,-1.4662,220.3885
2021-02-18 13:00:00,229.0316,219.7178,210.4041,218.1186,49.6071,219.7178,-1.4796,-1.5704,218.235
2021-02-18 12:00:00,229.2751,219.8887,210.5023,218.1105,49.4346,219.8887,-1.7883,-1.5931,218.02
2021-02-18 11:00:00,229.4857,220.0576,210.6295,218.1168,44.1772,220.0576,-2.1344,-1.5444,211.9
2021-02-18 10:00:00,229.4024,220.4256,211.4488,218.5455,45.7552,220.4256,-1.922,-1.3968,214.0
2021-02-18 09:00:00,229.496,220.7589,212.0219,218.859,43.9107,220.7589,-1.8368,-1.2655,212.0
2021-02-18 08:00:00,229.1554,221.0446,212.9338,219.332,47.0004,221.0446,-1.4977,-1.1227,216.0
2021-02-17 18:00:00,229.0805,221.1251,213.1697,219.5618,48.6552,221.1251,-1.4503,-1.029,218.0
2021-02-17 17:00:00,229.0886,221.2162,213.3439,219.6695,46.8555,221.2162,-1.5724,-0.9237,216.01
2021-02-17 16:00:00,229.0419,221.2492,213.4566,219.9219,46.8465,221.2492,-1.5027,-0.7615,216.0
2021-02-17 15:00:00,228.9506,221.3322,213.7139,220.1924,47.7264,221.3322,-1.3909,-0.5762,217.12
2021-02-17 14:00:00,228.9555,221.3282,213.701,220.4043,48.2657,221.3282,-1.342,-0.3725,217.8092
2021-02-17 13:00:00,228.9837,221.3013,213.6189,220.5833,44.6928,221.3013,-1.3302,-0.1302,213.733
2021-02-17 12:00:00,228.7348,221.4178,214.1009,221.0557,43.9092,221.4178,-0.8808,0.1698,212.88
2021-02-17 11:00:00,228.2894,221.6187,214.9479,221.6195,48.2942,221.6187,-0.2075,0.4325,218.535
2021-02-17 10:00:00,228.288,221.7155,215.143,221.8323,48.2279,221.7155,0.079,0.5925,218.46
2021-02-17 09:00:00,228.291,221.7125,215.134,222.0648,52.0461,221.7125,0.4513,0.7209,222.9
2021-02-16 20:00:00,228.2524,221.6867,215.1209,222.0072,52.136,221.6867,0.4678,0.7883,223.0
2021-02-16 17:00:00,228.3007,221.7107,215.1207,221.9388,51.5374,221.7107,0.4718,0.8684,222.26
2021-02-16 16:00:00,228.3076,221.7157,215.1238,221.9166,51.9191,221.7157,0.5455,0.9675,222.71
2021-02-16 15:00:00,228.2382,221.645,215.0518,221.8619,51.4081,221.645,0.5857,1.073,222.049
2021-02-16 14:00:00,228.2054,221.61,215.0147,221.849,50.3123,221.61,0.6959,1.1949,220.63
2021-02-16 13:00:00,228.4115,221.428,214.4446,221.9331,50.5765,221.428,0.9709,1.3196,220.97
2021-02-16 12:00:00,228.3967,221.369,214.3414,221.9995,47.991,221.369,1.2731,1.4068,217.64
