date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-22 20:00:00,51.1709,50.2004,50.6856,50.7103,43.9249,50.6856,-0.125,-0.1403,50.46
2021-02-22 19:00:00,51.2139,50.2033,50.7086,50.7276,44.0564,50.7086,-0.1258,-0.1442,50.4699
2021-02-22 18:00:00,51.2981,50.1825,50.7403,50.7454,44.4474,50.7403,-0.126,-0.1487,50.5
2021-02-22 17:00:00,51.3721,50.1699,50.771,50.7623,45.09,50.771,-0.1274,-0.1544,50.55
2021-02-22 16:00:00,51.452,50.1533,50.8026,50.7769,45.2164,50.8026,-0.1325,-0.1612,50.56
2021-02-22 15:00:00,51.5076,50.1537,50.8306,50.7919,46.736,50.8306,-0.138,-0.1684,50.68
2021-02-22 14:00:00,51.5735,50.1424,50.858,50.7996,45.8565,50.858,-0.1554,-0.176,50.62
2021-02-22 13:00:00,51.6358,50.1401,50.888,50.812,44.6792,50.888,-0.1691,-0.1811,50.54
2021-02-22 12:00:00,51.6888,50.1518,50.9203,50.8308,44.3134,50.9203,-0.176,-0.1841,50.515
2021-02-22 11:00:00,51.7478,50.1655,50.9566,50.8525,43.883,50.9566,-0.1798,-0.1862,50.485
2021-02-22 10:00:00,51.8087,50.1843,50.9965,50.8779,44.6051,50.9965,-0.1789,-0.1878,50.55
2021-02-22 09:00:00,51.8541,50.2088,51.0315,50.9005,47.5118,51.0315,-0.1817,-0.19,50.8
2021-02-22 08:00:00,51.9001,50.2159,51.058,50.9074,43.6802,51.058,-0.2082,-0.1921,50.53
2021-02-22 07:00:00,51.935,50.2529,51.094,50.9335,44.1417,51.094,-0.2115,-0.1881,50.57
2021-02-22 06:00:00,51.9925,50.2788,51.1356,50.9585,44.8284,51.1356,-0.2166,-0.1822,50.63
2021-02-22 05:00:00,52.0082,50.3198,51.164,50.9812,40.6643,51.164,-0.2262,-0.1736,50.35
2021-02-19 19:00:00,51.995,50.4069,51.201,51.0247,43.6194,51.201,-0.2066,-0.1605,50.61
2021-02-19 18:00:00,51.9855,50.4591,51.2223,51.0533,43.4667,51.2223,-0.205,-0.149,50.6
2021-02-19 17:00:00,51.9785,50.5194,51.249,51.0846,43.8109,51.249,-0.199,-0.1349,50.63
2021-02-19 16:00:00,51.9685,50.5807,51.2746,51.1159,43.2315,51.2746,-0.1915,-0.1189,50.59
2021-02-19 15:00:00,51.9483,50.6549,51.3016,51.1522,44.2234,51.3016,-0.1751,-0.1008,50.68
2021-02-19 14:00:00,51.9331,50.7215,51.3273,51.1848,44.7628,51.3273,-0.1608,-0.0822,50.7289
2021-02-19 13:00:00,51.9161,50.7866,51.3513,51.2162,44.8287,51.3513,-0.1451,-0.0626,50.735
2021-02-19 12:00:00,51.8925,50.8582,51.3753,51.2494,45.6817,51.3753,-0.1236,-0.0419,50.815
2021-02-19 11:00:00,51.8686,50.9217,51.3952,51.2794,43.9416,51.3952,-0.1025,-0.0215,50.68
2021-02-19 10:00:00,51.8171,51.0296,51.4233,51.3207,45.7247,51.4233,-0.0604,-0.0013,50.85
2021-02-19 09:00:00,51.7737,51.1113,51.4425,51.3532,52.6494,51.4425,-0.0231,0.0135,51.42
2021-02-19 08:00:00,51.7853,51.1123,51.4488,51.3486,52.1579,51.4488,-0.0331,0.0227,51.38
2021-02-19 07:00:00,51.787,51.116,51.4515,51.3464,46.9699,51.4515,-0.0414,0.0367,50.99
2021-02-19 06:00:00,51.7965,51.1025,51.4495,51.371,47.7398,51.4495,-0.0116,0.0562,51.05
2021-02-19 05:00:00,51.7773,51.1377,51.4575,51.3931,49.0347,51.4575,0.0204,0.0731,51.15
2021-02-18 20:00:00,51.7997,51.1033,51.4515,51.4099,52.7706,51.4515,0.0508,0.0863,51.42
2021-02-18 19:00:00,51.8278,51.0439,51.4358,51.4092,52.7706,51.4358,0.0614,0.0952,51.42
2021-02-18 18:00:00,51.8674,50.9636,51.4155,51.4084,53.9078,51.4155,0.074,0.1036,51.5
2021-02-18 17:00:00,51.8718,50.9272,51.3995,51.4021,52.6755,51.3995,0.0809,0.111,51.4
2021-02-18 16:00:00,51.893,50.8693,51.3812,51.4022,54.073,51.3812,0.0987,0.1185,51.5
2021-02-18 15:00:00,51.8921,50.8369,51.3645,51.3955,54.3531,51.3645,0.1099,0.1235,51.5201
2021-02-18 14:00:00,51.8849,50.8128,51.3488,51.3869,54.238,51.3488,0.1204,0.1269,51.51
2021-02-18 13:00:00,51.8838,50.7739,51.3288,51.3784,55.5115,51.3288,0.1331,0.1285,51.605
2021-02-18 12:00:00,51.8784,50.7256,51.302,51.3628,56.5243,51.302,0.1378,0.1273,51.68
2021-02-18 11:00:00,51.8739,50.6602,51.267,51.3409,55.6907,51.267,0.134,0.1247,51.6
2021-02-18 10:00:00,51.851,50.6371,51.244,51.323,55.6393,51.244,0.1355,0.1224,51.595
2021-02-18 09:00:00,51.8344,50.5963,51.2154,51.3043,55.8271,51.2154,0.1359,0.1191,51.61
2021-02-18 08:00:00,51.8007,50.59,51.1954,51.2832,58.4988,51.1954,0.1329,0.1149,51.82
2021-02-18 07:00:00,51.7318,50.5993,51.1655,51.2462,55.1387,51.1655,0.1057,0.1104,51.48
2021-02-18 06:00:00,51.7067,50.5898,51.1482,51.2301,54.9312,51.1482,0.1041,0.1115,51.46
2021-02-18 05:00:00,51.6842,50.5915,51.1379,51.2142,52.7112,51.1379,0.1026,0.1134,51.25
2021-02-17 20:00:00,51.683,50.5914,51.1372,51.2117,54.5671,51.1372,0.1206,0.1161,51.4
2021-02-17 19:00:00,51.6629,50.5849,51.1239,51.1988,54.5671,51.1239,0.1265,0.1149,51.4
2021-02-17 18:00:00,51.6457,50.5867,51.1162,51.1849,54.5671,51.1162,0.1322,0.112,51.4
2021-02-17 17:00:00,51.679,50.5701,51.1245,51.17,55.1518,51.1245,0.1376,0.107,51.45
2021-02-17 16:00:00,51.6939,50.5632,51.1285,51.1507,55.1518,51.1285,0.1374,0.0993,51.45
2021-02-17 15:00:00,51.7262,50.5469,51.1365,51.1301,55.2071,51.1365,0.1351,0.0898,51.455
2021-02-17 14:00:00,51.7565,50.5322,51.1444,51.1077,54.8131,51.1444,0.1297,0.0785,51.41
2021-02-17 13:00:00,51.7891,50.518,51.1535,51.0868,56.0306,51.1535,0.1254,0.0657,51.525
2021-02-17 12:00:00,51.7974,50.5144,51.1559,51.0566,55.194,51.1559,0.1065,0.0508,51.425
2021-02-17 11:00:00,51.8112,50.5096,51.1604,51.0312,57.1382,51.1604,0.091,0.0368,51.61
2021-02-17 10:00:00,51.8112,50.5096,51.1604,50.9913,55.9213,51.1604,0.0511,0.0232,51.46
2021-02-17 09:00:00,51.8257,50.504,51.1649,50.959,51.1876,51.1649,0.0146,0.0163,50.93
2021-02-17 08:00:00,51.8286,50.5185,51.1735,50.961,55.0708,51.1735,0.0218,0.0167,51.29
2021-02-17 07:00:00,51.822,50.4971,51.1595,50.9383,51.9379,51.1595,-0.0059,0.0154,50.97
2021-02-17 06:00:00,51.8236,50.4881,51.1559,50.9361,51.7346,51.1559,-0.0087,0.0208,50.95
2021-02-17 05:00:00,51.8314,50.4636,51.1475,50.9351,50.3121,51.1475,-0.0101,0.0281,50.81
2021-02-16 20:00:00,51.8491,50.426,51.1375,50.9437,52.5581,51.1375,0.0026,0.0377,51.02
2021-02-16 19:00:00,51.8546,50.3992,51.1269,50.9385,50.8408,51.1269,-0.0027,0.0465,50.85
2021-02-16 18:00:00,51.861,50.3801,51.1205,50.9446,52.4605,51.1205,0.0079,0.0588,51.0
2021-02-16 17:00:00,51.9226,50.2552,51.0889,50.9408,53.0046,51.0889,0.006,0.0715,51.05
2021-02-16 16:00:00,51.9748,50.133,51.0539,50.9332,51.6472,51.0539,-0.0015,0.0879,50.91
2021-02-16 15:00:00,52.0237,50.02,51.0219,50.9348,50.5626,51.0219,0.0032,0.1102,50.8
2021-02-16 14:00:00,52.0599,49.9306,50.9952,50.9441,48.86,50.9952,0.0203,0.137,50.6311
2021-02-16 13:00:00,52.0834,49.8709,50.9772,50.9657,51.7023,50.9772,0.059,0.1662,50.91
2021-02-16 12:00:00,52.1198,49.7639,50.9418,50.9696,49.9358,50.9418,0.0792,0.193,50.735
2021-02-16 11:00:00,52.1621,49.6549,50.9085,50.9858,52.8734,50.9085,0.1216,0.2214,51.01
2021-02-16 10:00:00,52.1897,49.5407,50.8652,50.9841,52.0302,50.8652,0.146,0.2464,50.925
2021-02-16 09:00:00,52.203,49.4554,50.8292,50.9882,52.4034,50.8292,0.1836,0.2715,50.96
2021-02-16 08:00:00,52.1989,49.4001,50.7995,50.9901,54.4529,50.7995,0.2254,0.2934,51.15
2021-02-16 07:00:00,52.2008,49.2989,50.7498,50.9791,55.3337,50.7498,0.2561,0.3105,51.23
2021-02-16 06:00:00,52.1674,49.2803,50.7238,50.9618,53.2312,50.7238,0.2835,0.324,51.0
2021-02-16 05:00:00,52.1501,49.2682,50.7092,50.9591,55.0838,50.7092,0.3377,0.3342,51.17
2021-02-12 20:00:00,52.1179,49.2464,50.6822,50.9446,60.8656,50.6822,0.3847,0.3333,51.65
2021-02-12 19:00:00,52.0507,49.2643,50.6575,50.8959,60.1924,50.6575,0.3902,0.3204,51.57
2021-02-12 18:00:00,52.0096,49.2788,50.6442,50.8494,61.7321,50.6442,0.3997,0.303,51.69
2021-02-12 17:00:00,51.9119,49.2751,50.5935,50.7915,61.7321,50.5935,0.3938,0.2788,51.69
2021-02-12 16:00:00,51.8076,49.2994,50.5535,50.7295,61.694,50.5535,0.3805,0.2501,51.685
2021-02-12 15:00:00,51.691,49.317,50.504,50.6636,61.0178,50.504,0.3585,0.2175,51.595
2021-02-12 14:00:00,51.5816,49.3134,50.4475,50.5994,60.7573,50.4475,0.3344,0.1822,51.56
2021-02-12 13:00:00,51.4624,49.3266,50.3945,50.5331,61.3231,50.3945,0.3023,0.1442,51.61
2021-02-12 12:00:00,51.3164,49.376,50.3462,50.4589,61.2184,50.3462,0.2518,0.1047,51.595
2021-02-12 11:00:00,51.1524,49.4323,50.2924,50.3805,58.2692,50.2924,0.1853,0.0679,51.19
2021-02-12 10:00:00,51.0517,49.4504,50.251,50.3247,55.6959,50.251,0.139,0.0385,50.87
2021-02-12 09:00:00,50.9935,49.4492,50.2214,50.2871,55.6132,50.2214,0.1104,0.0134,50.86
2021-02-12 08:00:00,50.931,49.4551,50.193,50.2476,54.2939,50.193,0.0733,-0.0109,50.7
2021-02-12 07:00:00,50.9225,49.4588,50.1907,50.2164,52.6794,50.1907,0.0412,-0.0319,50.51
2021-02-12 06:00:00,50.937,49.4537,50.1953,50.1961,54.5418,50.1953,0.0189,-0.0502,50.7
2021-02-12 05:00:00,50.9193,49.4607,50.19,50.1614,54.2124,50.19,-0.0291,-0.0675,50.66
2021-02-11 20:00:00,50.9193,49.4607,50.19,50.127,48.7357,50.19,-0.0859,-0.0771,50.05
2021-02-11 19:00:00,50.9688,49.4585,50.2137,50.1323,48.2452,50.2137,-0.095,-0.0749,50.0
2021-02-11 18:00:00,50.9922,49.4718,50.232,50.1414,47.7621,50.232,-0.1002,-0.0699,49.95
2021-02-11 17:00:00,51.0021,49.4919,50.247,50.1546,48.1979,50.247,-0.1002,-0.0623,50.0001
2021-02-11 16:00:00,51.0049,49.5058,50.2553,50.1653,48.973,50.2553,-0.1039,-0.0528,50.09
2021-02-11 15:00:00,51.0143,49.517,50.2657,50.1704,46.7626,50.2657,-0.1163,-0.0401,49.8499
2021-02-11 14:00:00,51.0178,49.5502,50.284,50.1925,45.674,50.284,-0.106,-0.021,49.735
2021-02-11 13:00:00,51.0125,49.6005,50.3065,50.2241,45.4393,50.3065,-0.0795,0.0002,49.71
2021-02-11 12:00:00,50.999,49.658,50.3285,50.2596,46.4875,50.3285,-0.0421,0.0201,49.845
2021-02-11 11:00:00,50.9886,49.6937,50.3412,50.2882,48.2819,50.3412,-0.0074,0.0357,50.07
2021-02-11 10:00:00,50.9899,49.7108,50.3503,50.3032,44.5089,50.3503,0.014,0.0465,49.66
2021-02-11 09:00:00,50.9581,49.7849,50.3715,50.3476,51.508,50.3715,0.0829,0.0546,50.45
2021-02-11 08:00:00,50.9581,49.7849,50.3715,50.3405,52.6218,50.3715,0.0892,0.0475,50.56
2021-02-11 07:00:00,50.9511,49.7846,50.3678,50.3253,50.7501,50.3678,0.0848,0.0371,50.36
2021-02-11 06:00:00,50.9506,49.7671,50.3588,50.323,56.7054,50.3588,0.0982,0.0252,50.91
2021-02-11 05:00:00,50.8999,49.7531,50.3265,50.2825,59.9185,50.3265,0.0579,0.0069,51.17
2021-02-10 20:00:00,50.7882,49.7775,50.2828,50.2213,49.221,50.2828,-0.0208,-0.0059,50.17
2021-02-10 19:00:00,50.8044,49.7359,50.2702,50.2248,53.6503,50.2702,-0.0191,-0.0021,50.49
2021-02-10 18:00:00,50.7943,49.7067,50.2505,50.2065,49.6837,50.2505,-0.0493,0.0021,50.2
2021-02-10 17:00:00,50.7948,49.6929,50.2438,50.207,44.9746,50.2438,-0.0576,0.015,49.9
2021-02-10 16:00:00,50.7948,49.6929,50.2438,50.2281,45.9445,50.2438,-0.0368,0.0331,49.97
2021-02-10 15:00:00,50.793,49.6993,50.2462,50.2459,48.717,50.2462,-0.0168,0.0506,50.1611
2021-02-10 14:00:00,50.7931,49.6919,50.2425,50.2518,45.7162,50.2425,-0.0105,0.0674,49.98
2021-02-10 13:00:00,50.7915,49.6981,50.2448,50.2705,45.2027,50.2448,0.016,0.0869,49.95
2021-02-10 12:00:00,50.7923,49.6959,50.2441,50.2926,45.6198,50.2441,0.0528,0.1046,49.98
2021-02-10 11:00:00,50.7944,49.6902,50.2423,50.3142,46.0304,50.2423,0.0959,0.1176,50.01
2021-02-10 10:00:00,50.7964,49.6836,50.24,50.3352,56.0998,50.24,0.1465,0.123,50.6289
2021-02-10 09:00:00,50.7638,49.671,50.2174,50.3149,56.5072,50.2174,0.1459,0.1172,50.65
2021-02-10 08:00:00,50.7247,49.6801,50.2024,50.2918,54.8551,50.2024,0.1408,0.11,50.54
2021-02-10 07:00:00,50.7018,49.6857,50.1938,50.2747,57.1441,50.1938,0.1435,0.1023,50.66
2021-02-10 06:00:00,50.6585,49.7018,50.1801,50.2481,59.1318,50.1801,0.1327,0.092,50.76
2021-02-10 05:00:00,50.5948,49.7347,50.1648,50.2128,56.0268,50.1648,0.1067,0.0818,50.55
2021-02-09 20:00:00,50.5574,49.7462,50.1518,50.1896,53.5922,50.1518,0.0934,0.0756,50.4
2021-02-09 19:00:00,50.5384,49.7338,50.1361,50.175,50.9681,50.1361,0.0903,0.0711,50.25
2021-02-09 18:00:00,50.5307,49.7249,50.1278,50.1699,53.9172,50.1278,0.1004,0.0663,50.4001
2021-02-09 17:00:00,50.5156,49.6986,50.1071,50.154,53.9155,50.1071,0.0964,0.0578,50.4
2021-02-09 16:00:00,50.4992,49.671,50.0851,50.137,54.1104,50.0851,0.09,0.0481,50.41
2021-02-09 15:00:00,50.4773,49.6476,50.0624,50.1182,53.4598,50.0624,0.0795,0.0377,50.37
2021-02-09 14:00:00,50.4563,49.6259,50.0411,50.1008,51.0268,50.0411,0.069,0.0272,50.225
2021-02-09 13:00:00,50.4492,49.5994,50.0243,50.0923,53.254,50.0243,0.0694,0.0168,50.345
2021-02-09 12:00:00,50.4244,49.5828,50.0036,50.0748,52.4175,50.0036,0.0566,0.0036,50.295
2021-02-09 11:00:00,50.4001,49.5731,49.9866,50.0597,55.3876,49.9866,0.0446,-0.0096,50.45
2021-02-09 10:00:00,50.3454,49.5858,49.9656,50.0327,55.3876,49.9656,0.0128,-0.0232,50.45
2021-02-09 09:00:00,50.2821,49.6117,49.9469,50.004,49.132,49.9469,-0.0279,-0.0322,50.09
2021-02-09 08:00:00,50.2715,49.6076,49.9396,49.998,46.0871,49.9396,-0.0429,-0.0332,49.94
2021-02-09 07:00:00,50.2707,49.6064,49.9386,50.002,44.3703,49.9386,-0.046,-0.0308,49.86
2021-02-09 06:00:00,50.278,49.6118,49.9449,50.0118,42.8305,49.9449,-0.0413,-0.027,49.79
2021-02-09 05:00:00,50.2987,49.6184,49.9586,50.0271,44.7105,49.9586,-0.0275,-0.0235,49.9
2021-02-08 20:00:00,50.3111,49.6214,49.9662,50.0359,46.5061,49.9662,-0.0206,-0.0225,50.0001
2021-02-08 19:00:00,50.3176,49.6215,49.9696,50.0384,44.3454,49.9696,-0.0218,-0.0229,49.9
2021-02-08 18:00:00,50.3751,49.6007,49.9879,50.0479,46.9069,49.9879,-0.0128,-0.0232,50.04
2021-02-08 17:00:00,50.4355,49.5723,50.0039,50.0485,47.0947,50.0039,-0.0154,-0.0258,50.05
2021-02-08 16:00:00,50.4892,49.55,50.0196,50.0484,47.0947,50.0196,-0.0194,-0.0284,50.05
2021-02-08 15:00:00,50.5164,49.5441,50.0302,50.0482,44.6075,50.0302,-0.0244,-0.0307,49.93
2021-02-08 14:00:00,50.5421,49.5464,50.0442,50.0564,44.5025,50.0442,-0.0181,-0.0323,49.925
2021-02-08 13:00:00,50.567,49.5504,50.0587,50.0655,44.78,50.0587,-0.0093,-0.0358,49.9419
2021-02-08 12:00:00,50.5871,49.5562,50.0717,50.074,44.9098,50.0717,0.0004,-0.0424,49.95
2021-02-08 11:00:00,50.5971,49.5646,50.0808,50.0825,49.1606,50.0808,0.0118,-0.0532,50.2
2021-02-08 10:00:00,50.6121,49.5612,50.0867,50.0744,50.6644,50.0867,0.0009,-0.0694,50.2811
2021-02-08 09:00:00,50.6137,49.5609,50.0873,50.0602,50.0986,50.0873,-0.0214,-0.087,50.25
2021-02-08 08:00:00,50.6161,49.5606,50.0883,50.0471,51.0078,50.0883,-0.0464,-0.1034,50.3
2021-02-08 07:00:00,50.612,49.5613,50.0866,50.0296,48.4769,50.0866,-0.0826,-0.1176,50.16
2021-02-08 06:00:00,50.6293,49.5587,50.094,50.0206,43.8721,50.094,-0.1135,-0.1263,49.93
2021-02-08 05:00:00,50.6614,49.5632,50.1123,50.0269,45.0568,50.1123,-0.1278,-0.1295,50.0
2021-02-05 20:00:00,50.6836,49.5684,50.126,50.0288,40.1465,50.126,-0.1513,-0.13,49.78
2021-02-05 19:00:00,50.7023,49.5943,50.1483,50.0459,39.1913,50.1483,-0.1567,-0.1247,49.74
2021-02-05 18:00:00,50.7028,49.6318,50.1673,50.067,38.9559,50.1673,-0.1572,-0.1167,49.73
2021-02-05 17:00:00,50.7033,49.674,50.1886,50.0903,38.9559,50.1886,-0.1546,-0.1065,49.73
2021-02-05 16:00:00,50.7017,49.7202,50.211,50.1151,38.7342,50.211,-0.1491,-0.0945,49.72
2021-02-05 15:00:00,50.6843,49.773,50.2286,50.1423,38.8023,50.2286,-0.1388,-0.0808,49.725
2021-02-05 14:00:00,50.6602,49.8207,50.2405,50.1711,39.6101,50.2405,-0.1241,-0.0664,49.785
2021-02-05 13:00:00,50.6422,49.8538,50.248,50.1978,40.0806,50.248,-0.1097,-0.0519,49.82
2021-02-05 12:00:00,50.6277,49.8792,50.2535,50.2238,41.0075,50.2535,-0.0933,-0.0375,49.8889
2021-02-05 11:00:00,50.6189,49.8954,50.2572,50.2469,40.6435,50.2572,-0.078,-0.0235,49.87
2021-02-05 10:00:00,50.62,49.8937,50.2568,50.2729,41.1631,50.2568,-0.0555,-0.0099,49.91
2021-02-05 09:00:00,50.6225,49.8895,50.256,50.2979,43.0241,50.256,-0.0299,0.0015,50.05
2021-02-05 08:00:00,50.6371,49.8617,50.2494,50.315,45.1377,50.2494,-0.0111,0.0094,50.2
2021-02-05 07:00:00,50.6371,49.8551,50.2461,50.323,43.8943,50.2461,-0.0023,0.0145,50.13
2021-02-05 06:00:00,50.6387,49.8615,50.2501,50.3363,43.3626,50.2501,0.0162,0.0188,50.1
2021-02-05 05:00:00,50.6422,49.872,50.2571,50.3526,48.5524,50.2571,0.0426,0.0194,50.45
2021-02-04 20:00:00,50.6345,49.8737,50.2541,50.3458,49.7025,50.2541,0.04,0.0136,50.52
2021-02-04 19:00:00,50.6384,49.8718,50.2551,50.3338,49.7025,50.2551,0.029,0.007,50.52
2021-02-04 18:00:00,50.6465,49.8677,50.2571,50.321,47.198,50.2571,0.0146,0.0015,50.37
2021-02-04 17:00:00,50.6391,49.8638,50.2514,50.3176,46.857,50.2514,0.0112,-0.0018,50.35
2021-02-04 16:00:00,50.6327,49.8602,50.2464,50.3154,47.0037,50.2464,0.0088,-0.0051,50.36
2021-02-04 15:00:00,50.6249,49.8547,50.2398,50.3123,46.518,50.2398,0.0045,-0.0085,50.33
2021-02-04 14:00:00,50.6187,49.8489,50.2338,50.3111,44.8065,50.2338,0.0021,-0.0118,50.225
2021-02-04 13:00:00,50.6178,49.8401,50.2289,50.317,46.8854,50.2289,0.0096,-0.0152,50.3755
2021-02-04 12:00:00,50.6073,49.8352,50.2213,50.313,45.6628,50.2213,0.0038,-0.0214,50.3
2021-02-04 11:00:00,50.6025,49.8321,50.2173,50.3139,45.3407,50.2173,0.0039,-0.0277,50.28
2021-02-04 10:00:00,50.5996,49.8306,50.2151,50.3162,44.8667,50.2151,0.0061,-0.0356,50.25
2021-02-04 09:00:00,50.5967,49.8268,50.2118,50.3208,46.5579,50.2118,0.0119,-0.0461,50.38
2021-02-04 08:00:00,50.5853,49.8255,50.2054,50.3167,47.9004,50.2054,0.0059,-0.0605,50.48
2021-02-04 07:00:00,50.5804,49.8278,50.2041,50.3054,46.8636,50.2041,-0.0121,-0.0771,50.41
2021-02-04 06:00:00,50.6166,49.8082,50.2124,50.2982,47.3845,50.2124,-0.0277,-0.0934,50.45
2021-02-04 05:00:00,50.6252,49.8043,50.2148,50.2878,45.3285,50.2148,-0.0514,-0.1098,50.31
2021-02-03 20:00:00,50.6383,49.8012,50.2198,50.2862,46.0744,50.2198,-0.0665,-0.1244,50.37
2021-02-03 19:00:00,50.6896,49.7753,50.2324,50.2804,46.4438,50.2324,-0.091,-0.1389,50.4
2021-02-03 18:00:00,50.7625,49.7357,50.2491,50.2722,44.2848,50.2491,-0.124,-0.1509,50.25
2021-02-03 17:00:00,50.7983,49.7279,50.2631,50.2737,41.7106,50.2631,-0.149,-0.1577,50.08
2021-02-03 16:00:00,50.8302,49.734,50.2821,50.2871,40.6185,50.2821,-0.1614,-0.1598,50.01
2021-02-03 15:00:00,50.8365,49.755,50.2958,50.3062,40.2319,50.2958,-0.1679,-0.1594,49.985
2021-02-03 14:00:00,50.8389,49.7803,50.3096,50.3283,40.3844,50.3096,-0.1711,-0.1573,50.0
2021-02-03 13:00:00,50.8399,49.8053,50.3226,50.351,38.2736,50.3226,-0.1742,-0.1539,49.86
2021-02-03 12:00:00,50.8303,49.8525,50.3414,50.3848,38.509,50.3414,-0.1614,-0.1488,49.885
2021-02-03 11:00:00,50.8138,49.8924,50.3531,50.4193,38.0093,50.3531,-0.1453,-0.1456,49.8511
2021-02-03 10:00:00,50.7908,49.948,50.3694,50.4585,40.3516,50.3694,-0.1191,-0.1457,50.1016
2021-02-03 09:00:00,50.7867,49.9666,50.3767,50.4831,41.8277,50.3767,-0.1095,-0.1524,50.25
2021-02-03 08:00:00,50.8063,49.9723,50.3893,50.4992,42.4344,50.3893,-0.1108,-0.1631,50.31
2021-02-03 07:00:00,50.8724,49.9489,50.4107,50.5123,42.9361,50.4107,-0.1169,-0.1762,50.36
2021-02-03 06:00:00,51.0147,49.8726,50.4437,50.5228,44.8853,50.4437,-0.128,-0.191,50.55
2021-02-03 05:00:00,51.1146,49.822,50.4683,50.5209,45.1985,50.4683,-0.1598,-0.2067,50.58
2021-02-02 20:00:00,51.2208,49.7698,50.4953,50.5168,40.079,50.4953,-0.201,-0.2184,50.2
2021-02-02 19:00:00,51.2835,49.7718,50.5277,50.5386,40.079,50.5277,-0.2121,-0.2228,50.2
2021-02-02 18:00:00,51.3856,49.7537,50.5697,50.562,39.5232,50.5697,-0.2231,-0.2255,50.16
2021-02-02 17:00:00,51.3904,49.7849,50.5877,50.5897,39.3874,50.5877,-0.2298,-0.2261,50.15
2021-02-02 16:00:00,51.3929,49.8191,50.606,50.62,38.4519,50.606,-0.234,-0.2251,50.08
2021-02-02 15:00:00,51.3866,49.8621,50.6243,50.6573,38.9921,50.6243,-0.2289,-0.2229,50.145
2021-02-02 14:00:00,51.3808,49.8982,50.6395,50.6926,39.2793,50.6395,-0.2256,-0.2214,50.18
2021-02-02 13:00:00,51.3747,49.9309,50.6528,50.728,39.561,50.6528,-0.2218,-0.2203,50.215
2021-02-02 12:00:00,51.3729,49.9658,50.6693,50.7634,38.7727,50.6693,-0.2171,-0.22,50.15
2021-02-02 11:00:00,51.3627,50.0093,50.686,50.8057,39.0759,50.686,-0.2015,-0.2207,50.19
2021-02-02 10:00:00,51.3545,50.0522,50.7034,50.8481,41.0136,50.7034,-0.1826,-0.2255,50.44
2021-02-02 09:00:00,51.3885,50.0649,50.7267,50.8763,42.8199,50.7267,-0.1813,-0.2362,50.66
2021-02-02 08:00:00,51.545,49.9891,50.767,50.8912,41.2276,50.767,-0.1994,-0.2499,50.52
2021-02-02 07:00:00,51.6489,49.9645,50.8067,50.9168,40.5417,50.8067,-0.2054,-0.2625,50.46
2021-02-02 06:00:00,51.7825,49.9302,50.8564,50.9483,42.8799,50.8564,-0.2039,-0.2768,50.75
2021-02-02 05:00:00,51.8671,49.9116,50.8894,50.9619,44.1532,50.8894,-0.2286,-0.295,50.9
2021-02-01 20:00:00,51.972,49.876,50.924,50.9662,41.5821,50.924,-0.2721,-0.3116,50.67
2021-02-01 19:00:00,52.0482,49.8739,50.961,50.9866,41.3551,50.961,-0.3002,-0.3215,50.65
2021-02-01 18:00:00,52.0898,49.8909,50.9904,51.0099,38.7081,50.9904,-0.3296,-0.3269,50.42
2021-02-01 17:00:00,52.1789,49.9071,51.043,51.0505,38.4746,51.043,-0.339,-0.3262,50.4
2021-02-01 16:00:00,52.262,49.9334,51.0977,51.0954,38.3612,51.0977,-0.344,-0.323,50.39
2021-02-01 15:00:00,52.3299,49.9735,51.1517,51.1441,38.602,51.1517,-0.3444,-0.3177,50.425
2021-02-01 14:00:00,52.3949,50.0169,51.2059,51.1936,36.5101,51.2059,-0.3434,-0.311,50.235
2021-02-01 13:00:00,52.4337,50.0977,51.2657,51.2598,37.187,51.2657,-0.3178,-0.3029,50.34
2021-02-01 12:00:00,52.4961,50.1623,51.3292,51.3232,36.9664,51.3292,-0.2912,-0.2992,50.3195
2021-02-01 11:00:00,52.5421,50.2443,51.3932,51.3924,38.9697,51.3932,-0.2509,-0.3012,50.63
2021-02-01 10:00:00,52.5925,50.298,51.4452,51.445,41.1938,51.4452,-0.2275,-0.3138,50.95
2021-02-01 09:00:00,52.651,50.3234,51.4872,51.4791,44.2449,51.4872,-0.2269,-0.3354,51.35
2021-02-01 08:00:00,52.7577,50.3,51.5289,51.488,43.6396,51.5289,-0.2635,-0.3625,51.29
