date,Middle BBand,Upper BBand,Lower BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-22 20:00:00,23.1283,24.022,22.2347,23.2622,62.1548,23.1283,0.2281,0.2422,23.63
2021-02-22 19:00:00,23.0923,23.9893,22.1954,23.2368,62.3852,23.0923,0.2245,0.2539,23.64
2021-02-22 18:00:00,23.056,23.9496,22.1624,23.209,63.756,23.056,0.2172,0.264,23.7
2021-02-22 17:00:00,23.0113,23.9057,22.117,23.1752,63.756,23.0113,0.2055,0.267,23.7
2021-02-22 16:00:00,22.9693,23.8486,22.0901,23.139,62.7358,22.9693,0.1902,0.2669,23.62
2021-02-22 15:00:00,22.931,23.7935,22.0685,23.1058,66.4657,22.931,0.171,0.2711,23.785
2021-02-22 14:00:00,22.8872,23.7041,22.0702,23.059,66.2896,22.8872,0.146,0.2556,23.77
2021-02-22 13:00:00,22.8435,23.6052,22.0818,23.0099,69.2181,22.8435,0.1185,0.2338,23.895
2021-02-22 12:00:00,22.7995,23.4588,22.1403,22.9489,67.2011,22.7995,0.0897,0.1897,23.715
2021-02-22 11:00:00,22.7607,23.3309,22.1905,22.8961,67.2011,22.7607,0.0647,0.1491,23.715
2021-02-22 10:00:00,22.7215,23.1732,22.2697,22.8396,63.6841,22.7215,0.0437,0.095,23.4303
2021-02-22 09:00:00,22.6964,23.0636,22.3292,22.7989,56.3726,22.6964,0.0308,0.0536,22.97
2021-02-22 08:00:00,22.6831,23.0384,22.3277,22.7871,55.8122,22.6831,0.0252,0.0468,22.94
2021-02-22 07:00:00,22.6784,23.0237,22.3331,22.7765,56.514,22.6784,0.0197,0.0406,22.97
2021-02-22 06:00:00,22.6737,23.0067,22.3408,22.7632,53.2969,22.6737,0.0145,0.029,22.8
2021-02-22 05:00:00,22.6821,23.0389,22.3252,22.7606,52.4976,22.6821,0.0109,0.0311,22.76
2021-02-19 20:00:00,22.6901,23.0639,22.3162,22.7607,54.9999,22.6901,0.0059,0.0373,22.87
2021-02-19 19:00:00,22.6901,23.0639,22.3162,22.7531,54.6197,22.6901,-0.002,0.0336,22.85
2021-02-19 18:00:00,22.6997,23.1034,22.2961,22.7464,55.0695,22.6997,-0.0109,0.0303,22.87
2021-02-19 17:00:00,22.7175,23.1903,22.2447,22.7379,55.0695,22.7175,-0.0212,0.0237,22.87
2021-02-19 16:00:00,22.7339,23.2581,22.2096,22.7288,55.0695,22.7339,-0.0324,0.0149,22.87
2021-02-19 15:00:00,22.749,23.3126,22.1853,22.7191,54.5626,22.749,-0.0443,0.0034,22.84
2021-02-19 14:00:00,22.7651,23.3646,22.1655,22.7107,55.1642,22.7651,-0.0562,-0.0082,22.87
2021-02-19 13:00:00,22.7782,23.4031,22.1533,22.6997,52.993,22.7782,-0.0682,-0.0259,22.74
2021-02-19 12:00:00,22.7938,23.4373,22.1503,22.697,53.7674,22.7938,-0.0788,-0.0349,22.78
2021-02-19 11:00:00,22.8065,23.4633,22.1498,22.6912,56.3548,22.8065,-0.0897,-0.05,22.91
2021-02-19 10:00:00,22.8107,23.4717,22.1498,22.6762,54.053,22.8107,-0.0996,-0.0818,22.77
2021-02-19 09:00:00,22.8173,23.4805,22.1542,22.6697,50.0496,22.8173,-0.1041,-0.1069,22.5499
2021-02-19 08:00:00,22.8352,23.4975,22.1729,22.6779,49.4714,22.8352,-0.1034,-0.115,22.52
2021-02-19 07:00:00,22.8541,23.5117,22.1965,22.6888,49.0904,22.8541,-0.1005,-0.1206,22.5
2021-02-19 06:00:00,22.8819,23.5476,22.2162,22.7019,50.0016,22.8819,-0.0954,-0.124,22.55
2021-02-19 05:00:00,22.9083,23.5821,22.2345,22.7123,50.0016,22.9083,-0.0883,-0.1316,22.55
2021-02-18 20:00:00,22.9314,23.6021,22.2608,22.7235,46.4738,22.9314,-0.0774,-0.1394,22.36
2021-02-18 19:00:00,22.9586,23.5998,22.3174,22.7486,47.8461,22.9586,-0.062,-0.1279,22.4399
2021-02-18 18:00:00,22.9824,23.5974,22.3675,22.7699,48.3663,22.9824,-0.0455,-0.1196,22.47
2021-02-18 17:00:00,22.9981,23.5833,22.4129,22.7906,48.3663,22.9981,-0.027,-0.1102,22.47
2021-02-18 16:00:00,23.015,23.5665,22.4634,22.8127,48.1914,23.015,-0.0061,-0.0967,22.46
2021-02-18 15:00:00,23.0345,23.5461,22.5229,22.837,50.0764,23.0345,0.0165,-0.0771,22.575
2021-02-18 14:00:00,23.0463,23.5306,22.5621,22.8551,49.6627,23.0463,0.0399,-0.0626,22.55
2021-02-18 13:00:00,23.0566,23.5104,22.6029,22.8761,49.4846,23.0566,0.0655,-0.0406,22.539
2021-02-18 12:00:00,23.0686,23.4845,22.6528,22.8994,51.7212,23.0686,0.0921,-0.0108,22.6781
2021-02-18 11:00:00,23.0735,23.474,22.673,22.9146,50.0243,23.0735,0.1178,0.0131,22.57
2021-02-18 10:00:00,23.0822,23.4486,22.7158,22.9384,53.9224,23.0822,0.1439,0.0545,22.8
2021-02-18 09:00:00,23.0789,23.4569,22.7009,22.9479,54.4574,23.0789,0.1663,0.0832,22.83
2021-02-18 08:00:00,23.0797,23.4557,22.7038,22.9561,58.5778,23.0797,0.1871,0.1155,23.05
2021-02-18 07:00:00,23.0754,23.4556,22.6952,22.9496,57.8776,23.0754,0.2049,0.1326,23.0
2021-02-18 06:00:00,23.0704,23.4583,22.6824,22.9461,56.0087,23.0704,0.223,0.1577,22.87
2021-02-18 05:00:00,23.0756,23.4568,22.6944,22.9514,61.4859,23.0756,0.2393,0.2006,23.14
2021-02-17 20:00:00,23.0758,23.4571,22.6945,22.9384,67.6903,23.0758,0.249,0.225,23.4018
2021-02-17 19:00:00,23.0649,23.4265,22.7034,22.9064,67.2084,23.0649,0.255,0.2262,23.3623
2021-02-17 18:00:00,23.0567,23.4017,22.7117,22.875,66.7286,23.0567,0.2623,0.2284,23.3229
2021-02-17 17:00:00,22.9982,23.6239,22.3724,22.8441,66.7286,22.9982,0.2707,0.2319,23.3229
2021-02-17 16:00:00,22.94,23.7357,22.1443,22.811,66.032,22.94,0.2804,0.2331,23.2637
