date,Middle BBand,Lower BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-22 20:00:00,169.6467,157.7489,181.5445,167.7111,33.4555,169.6467,-2.7221,-3.5524,160.35
2021-02-22 19:00:00,169.935,158.5439,181.3261,168.2188,33.8147,169.935,-2.5145,-3.5158,160.7
2021-02-22 18:00:00,170.2367,159.3727,181.1007,168.7373,33.3203,170.2367,-2.2641,-3.4537,160.45
2021-02-22 17:00:00,170.5714,160.3334,180.8093,169.3088,31.7431,170.5714,-1.9667,-3.2987,159.65
2021-02-22 16:00:00,170.9164,161.51,180.3227,169.975,30.9936,170.9164,-1.6337,-2.9714,159.27
2021-02-22 15:00:00,171.2867,162.927,179.6464,170.7132,35.935,171.2867,-1.2993,-2.4718,164.1929
2021-02-22 14:00:00,171.4659,163.501,179.4308,171.1629,34.8273,171.4659,-1.0062,-2.2993,163.65
2021-02-22 13:00:00,171.7359,164.3188,179.1531,171.6811,34.7268,171.7359,-0.6829,-1.9905,163.6
2021-02-22 12:00:00,171.9816,165.1974,178.7658,172.2384,34.7994,171.9816,-0.356,-1.5623,163.67
2021-02-22 11:00:00,172.2259,166.1676,178.2843,172.8293,35.6685,172.2259,-0.0545,-1.0001,164.5139
2021-02-22 10:00:00,172.4528,167.0977,177.8079,173.4028,37.6856,172.4528,0.1819,-0.354,166.385
2021-02-22 09:00:00,172.644,167.7822,177.5057,173.8867,46.6296,172.644,0.3159,0.2854,172.95
2021-02-22 08:00:00,172.659,167.7908,177.5272,173.9514,48.0571,172.659,0.3235,0.4288,173.8
2021-02-22 07:00:00,172.653,167.79,177.516,173.9618,48.3941,172.653,0.2972,0.5191,174.0
2021-02-22 06:00:00,172.687,167.7728,177.6011,173.9592,51.2054,172.687,0.2417,0.6065,175.62
2021-02-19 20:00:00,172.6163,167.8131,177.4195,173.8446,49.8137,172.6163,0.1506,0.5442,174.82
2021-02-19 19:00:00,172.589,167.8271,177.3508,173.7773,50.4571,172.589,0.0522,0.5382,175.19
2021-02-19 18:00:00,172.6156,167.7873,177.4439,173.6799,50.8173,172.6156,-0.0694,0.4851,175.4
2021-02-19 17:00:00,172.605,167.8,177.41,173.5613,50.5737,172.605,-0.208,0.3889,175.25
2021-02-19 16:00:00,172.6166,167.7844,177.4489,173.4448,49.3781,172.6166,-0.3572,0.2758,174.51
2021-02-19 15:00:00,172.6596,167.7386,177.5807,173.3714,49.5189,172.6596,-0.5155,0.2026,174.6
2021-02-19 14:00:00,172.7313,167.6397,177.8229,173.2866,48.9402,172.7313,-0.695,0.0972,174.23
2021-02-19 13:00:00,172.696,167.6318,177.7601,173.2216,48.4288,172.696,-0.893,-0.0011,173.8989
2021-02-19 12:00:00,172.704,167.6314,177.7766,173.1749,53.6379,172.704,-1.116,-0.0929,177.22
2021-02-19 11:00:00,172.6088,167.7774,177.4403,172.8959,53.0946,172.6088,-1.3718,-0.5468,176.85
2021-02-19 10:00:00,172.5145,167.9129,177.1161,172.6232,48.1929,172.5145,-1.578,-1.0806,173.76
2021-02-19 09:00:00,172.5632,167.8797,177.2466,172.5448,44.1388,172.5632,-1.7024,-1.4315,171.54
2021-02-19 08:00:00,172.7578,167.7843,177.7314,172.6141,44.1197,172.7578,-1.7701,-1.6325,171.53
2021-02-19 07:00:00,172.9235,167.7958,178.0511,172.6889,40.721,172.9235,-1.8045,-1.8644,169.79
2021-02-19 06:00:00,173.2072,167.8671,178.5472,172.8888,36.9275,173.2072,-1.7896,-1.956,168.01
2021-02-19 05:00:00,173.4935,168.3826,178.6044,173.2253,38.2433,173.4935,-1.748,-1.8633,169.0
2021-02-18 20:00:00,173.6862,168.8383,178.534,173.5166,39.268,173.6862,-1.7191,-1.8186,169.75
2021-02-18 19:00:00,173.8778,169.2165,178.5391,173.7764,40.2978,173.8778,-1.6943,-1.8115,170.49
2021-02-18 18:00:00,174.1348,169.3994,178.8702,174.0031,39.2785,174.1348,-1.6649,-1.8515,170.0
2021-02-18 17:00:00,174.4082,169.7125,179.1038,174.2791,39.7877,174.4082,-1.6183,-1.8256,170.38
2021-02-18 16:00:00,174.6822,169.9994,179.3649,174.548,38.1351,174.6822,-1.5665,-1.8048,169.57
2021-02-18 15:00:00,174.9795,170.5048,179.4542,174.8914,41.0676,174.9795,-1.5069,-1.6694,171.75
2021-02-18 14:00:00,175.2077,170.7169,179.6984,175.108,39.4574,175.2077,-1.4663,-1.6944,170.97
2021-02-18 13:00:00,175.4733,171.0747,179.8719,175.3934,39.4975,175.4733,-1.4093,-1.6222,171.0
