date,Middle BBand,Lower BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-22 20:00:00,238.4085,231.4054,245.4116,237.5187,33.798,238.4085,-1.8879,-1.9016,234.07
2021-02-22 19:00:00,238.7408,231.6471,245.8345,237.7566,34.1929,238.7408,-1.8844,-1.9401,234.27
2021-02-22 18:00:00,239.0655,231.9285,246.2024,237.997,34.4067,239.0655,-1.8705,-1.9814,234.38
2021-02-22 17:00:00,239.3508,232.3021,246.3995,238.2465,34.1171,239.3508,-1.8428,-2.0164,234.3
2021-02-22 16:00:00,239.6315,232.7408,246.5222,238.5186,34.672,239.6315,-1.7994,-2.0237,234.6
2021-02-22 15:00:00,239.9215,233.1713,246.6716,238.7889,36.11,239.9215,-1.7434,-2.034,235.36
2021-02-22 14:00:00,240.1911,233.5459,246.8364,239.0254,36.4193,240.1911,-1.6707,-2.0951,235.521
2021-02-22 13:00:00,240.4668,233.9342,246.9993,239.2671,31.7134,240.4668,-1.5646,-2.1589,234.1811
2021-02-22 12:00:00,240.7711,234.5974,246.9447,239.6178,25.9777,240.7711,-1.416,-2.0726,232.73
2021-02-22 11:00:00,241.0974,235.6684,246.5264,240.0928,28.3232,241.0974,-1.2519,-1.7844,234.21
2021-02-22 10:00:00,241.3524,236.56,246.1448,240.4985,32.6119,241.3524,-1.1187,-1.5414,236.44
2021-02-22 09:00:00,241.5207,237.0892,245.9523,240.7784,35.5523,241.5207,-1.0131,-1.4359,237.7
2021-02-22 08:00:00,241.6527,237.4545,245.851,240.9908,32.2729,241.6527,-0.9074,-1.4086,237.0
2021-02-22 07:00:00,241.8192,237.9925,245.6459,241.266,32.2253,241.8192,-0.782,-1.282,236.99
2021-02-22 06:00:00,241.9902,238.6095,245.3709,241.5609,33.7389,241.9902,-0.6571,-1.1007,237.65
2021-02-22 05:00:00,242.1519,239.1774,245.1263,241.8306,33.048,242.1519,-0.5461,-0.9206,237.5
2021-02-19 20:00:00,242.3285,239.9009,244.7561,242.1292,42.0286,242.3285,-0.4525,-0.662,240.68
2021-02-19 19:00:00,242.3922,240.0419,244.7425,242.2292,41.3993,242.3922,-0.4001,-0.6461,240.55
2021-02-19 18:00:00,242.4689,240.2159,244.7218,242.345,41.6346,242.4689,-0.3387,-0.6031,240.62
2021-02-19 17:00:00,242.5869,240.363,244.8107,242.464,41.8976,242.5869,-0.2726,-0.5466,240.7
