date,Upper BBand,Middle BBand,Lower BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-22 20:00:00,609.6197,591.9272,574.2346,588.5749,38.8438,591.9272,-5.2212,-3.3923,574.8
2021-02-22 19:00:00,609.4493,592.7505,576.0517,589.5249,39.6396,592.7505,-4.8583,-2.935,576.4
2021-02-22 18:00:00,609.1522,593.4865,577.8208,590.4301,38.5751,593.4865,-4.4873,-2.4542,575.0
2021-02-22 17:00:00,608.158,594.0602,579.9623,591.4942,38.4928,594.0602,-3.806,-1.946,574.89
2021-02-22 16:00:00,606.8466,594.6618,582.4771,592.6393,38.0105,594.6618,-2.8699,-1.481,574.23
2021-02-22 15:00:00,604.8614,595.2625,585.6636,593.909,45.0821,595.2625,-1.5661,-1.1337,587.89
2021-02-22 14:00:00,604.6771,595.4382,586.1992,594.3241,46.6387,595.4382,-1.27,-1.0256,590.425
2021-02-22 13:00:00,604.6214,595.5293,586.4372,594.593,47.9357,595.5293,-1.1318,-0.9645,592.48
2021-02-22 12:00:00,604.6573,595.476,586.2946,594.7387,47.1966,595.476,-1.1481,-0.9227,591.41
2021-02-22 11:00:00,604.7363,595.4089,586.0815,594.9682,47.5196,595.4089,-1.0433,-0.8664,591.94
2021-02-22 10:00:00,605.0119,595.2299,585.4479,595.1771,54.1502,595.2299,-0.9483,-0.8221,601.75
2021-02-22 09:00:00,604.738,594.6972,584.6565,594.7238,45.9361,594.6972,-1.8121,-0.7906,590.7
2021-02-22 08:00:00,604.8689,594.5879,584.3069,595.0013,44.2318,594.5879,-1.7631,-0.5352,588.75
2021-02-22 07:00:00,604.7995,594.7284,584.6573,595.4324,43.3913,594.7284,-1.4764,-0.2283,587.8
2021-02-22 06:00:00,604.7853,594.7367,584.6882,595.9588,44.0602,594.7367,-0.9924,0.0838,588.79
2021-02-22 05:00:00,604.7305,594.7871,584.8436,596.4532,42.9701,594.7871,-0.4609,0.3528,587.52
2021-02-19 20:00:00,604.6948,594.8067,584.9186,597.0693,50.0013,594.8067,0.3535,0.5562,597.0
2021-02-19 19:00:00,604.6584,594.5034,584.3483,597.074,49.7919,594.5034,0.4226,0.6069,596.75
2021-02-19 18:00:00,604.5155,594.3854,584.2553,597.0964,49.5057,594.3854,0.5301,0.653,596.4
2021-02-19 17:00:00,604.6274,594.4387,584.2501,597.1444,49.426,594.4387,0.6953,0.6837,596.3
2021-02-19 16:00:00,604.6392,594.4454,584.2516,597.2027,50.1136,594.4454,0.9061,0.6808,597.2
2021-02-19 15:00:00,604.5283,594.3807,584.2331,597.2028,50.4908,594.3807,1.0704,0.6245,597.7
2021-02-19 14:00:00,604.5322,594.3824,584.2326,597.1686,50.1571,594.3824,1.2136,0.513,597.2399
2021-02-19 13:00:00,604.4676,594.3491,584.2305,597.1636,50.2141,594.3491,1.4256,0.3378,597.32
2021-02-19 12:00:00,604.3433,594.2791,584.2148,597.1528,55.9288,594.2791,1.6673,0.0659,604.775
2021-02-19 11:00:00,603.3797,594.0265,584.6733,596.6272,54.6092,594.0265,1.1925,-0.3344,602.805
2021-02-19 10:00:00,602.6499,593.821,584.9921,596.2011,51.7939,593.821,0.7697,-0.7162,598.83
2021-02-19 09:00:00,602.3025,593.669,585.0355,596.0198,54.3517,593.669,0.6235,-1.0876,601.95
2021-02-19 08:00:00,601.8945,593.573,585.2515,595.6108,52.8512,593.573,0.1103,-1.5154,599.87
2021-02-19 07:00:00,602.387,593.6783,584.9697,595.3171,52.142,593.6783,-0.3346,-1.9219,598.9
2021-02-19 06:00:00,603.4883,593.91,584.3317,595.07,52.6152,593.91,-0.7989,-2.3187,599.5
2021-02-19 05:00:00,605.751,594.3267,582.9023,594.7645,51.8978,594.3267,-1.4409,-2.6986,598.48
2021-02-18 20:00:00,607.6239,594.7523,581.8808,594.5083,47.1426,594.7523,-2.1356,-3.013,592.21
2021-02-18 19:00:00,609.5113,595.387,581.2628,594.6668,47.673,595.387,-2.3528,-3.2324,592.94
2021-02-18 18:00:00,611.2301,596.0057,580.7813,594.7858,47.1295,596.0057,-2.6701,-3.4523,592.25
2021-02-18 17:00:00,613.022,596.6973,580.3727,594.9607,47.762,596.6973,-2.9659,-3.6479,593.16
2021-02-18 16:00:00,614.6362,597.3587,580.0811,595.0849,47.762,597.3587,-3.3931,-3.8183,593.16
2021-02-18 15:00:00,616.0302,598.0027,579.9751,595.2177,46.0675,598.0027,-3.889,-3.9247,590.88
2021-02-18 14:00:00,617.3708,598.747,580.1232,595.5168,44.9454,598.747,-4.2332,-3.9336,589.3981
2021-02-18 13:00:00,618.7192,599.5881,580.4569,595.9388,42.7471,599.5881,-4.46,-3.8587,586.5688
2021-02-18 12:00:00,619.2668,600.3838,581.5007,596.585,42.1163,600.3838,-4.3967,-3.7083,585.77
2021-02-18 11:00:00,619.3015,601.0876,582.8737,597.3309,43.0637,601.0876,-4.1705,-3.5363,587.42
2021-02-18 10:00:00,619.0718,601.5783,584.0847,598.0144,46.4587,601.5783,-3.9891,-3.3777,592.965
2021-02-18 09:00:00,619.4675,602.0998,584.732,598.3626,42.5799,602.0998,-4.2642,-3.2248,588.05
2021-02-18 08:00:00,619.2544,602.6658,586.0772,599.0738,43.9902,602.6658,-4.0529,-2.965,590.3
2021-02-18 07:00:00,619.066,603.1224,587.1789,599.6789,42.1886,603.1224,-3.9532,-2.693,588.11
2021-02-18 06:00:00,618.6856,603.7224,588.7592,600.4768,42.0158,603.7224,-3.5456,-2.378,587.9
2021-02-18 05:00:00,618.0196,604.2581,590.4966,601.3441,45.329,604.2581,-2.9523,-2.0861,593.21
2021-02-17 20:00:00,617.7331,604.5844,591.4357,601.9051,48.6761,604.5844,-2.6929,-1.8695,598.0
2021-02-17 19:00:00,617.6863,604.7501,591.8139,602.1744,47.5027,604.7501,-2.8102,-1.6636,596.5
2021-02-17 18:00:00,617.6121,604.8068,592.0014,602.5658,46.5257,604.8068,-2.7663,-1.377,595.26
2021-02-17 17:00:00,617.4667,604.8981,592.3295,603.0696,48.2694,604.8981,-2.5439,-1.0297,597.75
2021-02-17 16:00:00,617.4564,604.9064,592.3565,603.4365,47.1073,604.9064,-2.4765,-0.6511,596.24
2021-02-17 15:00:00,617.4414,604.9151,592.3888,603.9328,46.3199,604.9151,-2.2007,-0.1948,595.22
2021-02-17 14:00:00,617.2592,605.0291,592.799,604.5337,47.6498,605.0291,-1.7128,0.3067,597.1982
2021-02-17 13:00:00,617.3529,604.9768,592.6008,605.0396,47.2366,604.9768,-1.2666,0.8116,596.64
2021-02-17 12:00:00,617.2944,605.0152,592.7359,605.6189,45.47,605.0152,-0.6218,1.3311,594.27
2021-02-17 11:00:00,616.9739,605.3572,593.7404,606.4015,48.6597,605.3572,0.4515,1.8194,599.07
2021-02-17 10:00:00,617.1377,605.6898,594.2419,606.9072,51.5432,605.6898,1.3262,2.1613,603.03
2021-02-17 09:00:00,617.4046,605.9125,594.4204,607.1746,53.7352,605.9125,2.0201,2.3701,605.85
2021-02-17 08:00:00,617.3719,605.8697,594.3674,607.2659,59.0273,605.8697,2.5892,2.4577,612.0
2021-02-17 07:00:00,617.1841,605.8027,594.4212,606.9394,58.546,605.8027,2.6518,2.4248,611.25
2021-02-17 05:00:00,617.031,605.7443,594.4576,606.6421,58.546,605.7443,2.7696,2.368,611.25
2021-02-16 20:00:00,616.921,605.7043,594.4877,606.3244,58.761,605.7043,2.8795,2.2676,611.5
2021-02-16 19:00:00,616.9735,605.721,594.4685,605.9674,60.0397,605.721,2.9525,2.1146,612.9999
2021-02-16 18:00:00,616.719,605.6413,594.5636,605.4824,60.0398,605.6413,2.85,1.9052,613.0
2021-02-16 17:00:00,616.683,605.6313,594.5797,604.964,59.7561,605.6313,2.6778,1.6689,612.48
2021-02-16 16:00:00,616.5236,605.582,594.6404,604.4456,60.3374,605.582,2.4719,1.4167,613.21
2021-02-16 15:00:00,616.1762,605.475,594.7738,603.8412,61.4617,605.475,2.0988,1.1529,614.63
2021-02-16 14:00:00,615.729,605.3583,594.9877,603.0971,59.2984,605.3583,1.4476,0.9165,610.44
2021-02-16 13:00:00,615.7066,605.3507,594.9947,602.5907,57.3341,605.3507,1.0219,0.7837,606.885
2021-02-16 12:00:00,615.6556,605.3138,594.9721,602.2946,54.5009,605.3138,0.8257,0.7241,602.14
2021-02-16 11:00:00,615.8829,605.5365,595.1901,602.3052,59.7287,605.5365,1.0463,0.6987,608.61
2021-02-16 10:00:00,615.7128,605.4295,595.1462,601.8704,57.5508,605.4295,0.654,0.6119,605.03
2021-02-16 09:00:00,615.8523,605.5288,595.2054,601.6525,56.9026,605.5288,0.5082,0.6013,604.0
2021-02-16 08:00:00,615.9247,605.6117,595.2988,601.4906,58.677,605.6117,0.4196,0.6246,606.11
2021-02-16 07:00:00,615.8773,605.4514,595.0255,601.172,57.3738,605.4514,0.0855,0.6759,603.97
2021-02-16 06:00:00,615.989,605.2631,594.5371,600.9791,56.7766,605.2631,-0.1241,0.8235,603.0
2021-02-16 05:00:00,616.2513,605.0231,593.7949,600.8397,56.7584,605.0231,-0.2912,1.0604,602.97
2021-02-12 20:00:00,616.3599,604.8474,593.3349,600.6928,53.7814,604.8474,-0.4971,1.3983,598.2
2021-02-12 19:00:00,616.3473,604.8574,593.3675,600.8647,53.6521,604.8574,-0.2671,1.8721,598.0
2021-02-12 18:00:00,616.4956,604.7741,593.0526,601.0622,53.6521,604.7741,0.0508,2.4069,598.0
2021-02-12 17:00:00,617.1283,604.5164,591.9045,601.2734,52.725,604.5164,0.4557,2.9959,596.5
2021-02-12 16:00:00,617.539,604.3371,591.1352,601.6026,54.2207,604.3371,1.1187,3.631,598.64
2021-02-12 15:00:00,617.8813,604.1241,590.3668,601.807,52.3841,604.1241,1.7308,4.259,595.63
2021-02-12 14:00:00,617.9856,604.0631,590.1405,602.233,53.8837,604.0631,2.7933,4.8911,597.79
