date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-22 20:00:00,34.0777,34.3909,34.7042,34.3639,40.4355,34.3909,-0.097,-0.0924,34.18
2021-02-22 19:00:00,34.0887,34.4073,34.7259,34.3766,40.0665,34.4073,-0.0982,-0.0913,34.17
2021-02-22 18:00:00,34.1069,34.4226,34.7383,34.3909,40.3079,34.4226,-0.0974,-0.0895,34.18
2021-02-22 17:00:00,34.1294,34.4349,34.7405,34.4054,40.3079,34.4349,-0.0959,-0.0876,34.18
2021-02-22 16:00:00,34.1544,34.4459,34.7375,34.421,42.3364,34.4459,-0.0926,-0.0855,34.2651
2021-02-22 15:00:00,34.1697,34.4551,34.7405,34.4317,40.8104,34.4551,-0.0957,-0.0837,34.22
2021-02-22 14:00:00,34.1925,34.4664,34.7404,34.4463,42.2483,34.4664,-0.0937,-0.0808,34.28
2021-02-22 13:00:00,34.2089,34.4758,34.7427,34.4578,41.9186,34.4758,-0.0958,-0.0775,34.27
2021-02-22 12:00:00,34.2264,34.4879,34.7494,34.4707,39.0601,34.4879,-0.0962,-0.073,34.185
2021-02-22 11:00:00,34.2621,34.5027,34.7432,34.4904,41.132,34.5027,-0.0866,-0.0671,34.275
2021-02-22 10:00:00,34.2846,34.5151,34.7457,34.5053,34.5255,34.5151,-0.0822,-0.0623,34.0979
2021-02-22 09:00:00,34.3547,34.5348,34.715,34.5334,42.0494,34.5348,-0.0575,-0.0573,34.39
2021-02-22 08:00:00,34.366,34.5442,34.7224,34.5433,42.0494,34.5442,-0.0547,-0.0573,34.39
2021-02-22 07:00:00,34.3781,34.5542,34.7303,34.5538,45.5419,34.5542,-0.0504,-0.0579,34.5
2021-02-22 06:00:00,34.3685,34.5642,34.7598,34.5576,47.2669,34.5642,-0.0555,-0.0598,34.55
2021-02-22 05:00:00,34.3572,34.5732,34.7892,34.5581,41.2432,34.5732,-0.0661,-0.0608,34.41
2021-02-19 20:00:00,34.3676,34.5848,34.8021,34.5683,42.2427,34.5848,-0.0645,-0.0595,34.44
2021-02-19 19:00:00,34.377,34.5952,34.8134,34.5771,43.2561,34.5952,-0.0646,-0.0583,34.47
2021-02-19 18:00:00,34.3834,34.6052,34.827,34.5845,41.909,34.6052,-0.0668,-0.0567,34.44
2021-02-19 17:00:00,34.389,34.6188,34.8487,34.5945,41.4612,34.6188,-0.0657,-0.0541,34.43
2021-02-19 16:00:00,34.3987,34.6332,34.8677,34.6058,41.7724,34.6332,-0.0622,-0.0513,34.44
2021-02-19 15:00:00,34.4112,34.6468,34.8825,34.6173,42.3877,34.6468,-0.0578,-0.0485,34.46
2021-02-19 14:00:00,34.4238,34.6598,34.8959,34.6281,44.0366,34.6598,-0.0535,-0.0462,34.5126
2021-02-19 13:00:00,34.4281,34.6728,34.9174,34.6361,43.3235,34.6728,-0.0525,-0.0444,34.495
2021-02-19 12:00:00,34.4389,34.6858,34.9327,34.6458,44.3383,34.6858,-0.0487,-0.0424,34.5277
2021-02-19 11:00:00,34.4412,34.7003,34.9595,34.654,42.4371,34.7003,-0.0465,-0.0408,34.48
2021-02-19 10:00:00,34.456,34.7157,34.9753,34.666,43.6455,34.7157,-0.0381,-0.0393,34.52
2021-02-19 09:00:00,34.4692,34.7293,34.9895,34.676,49.4281,34.7293,-0.031,-0.0396,34.69
2021-02-19 08:00:00,34.4709,34.7307,34.9904,34.6751,47.0339,34.7307,-0.0387,-0.0418,34.63
2021-02-19 07:00:00,34.4638,34.7283,34.9929,34.6782,47.7625,34.7283,-0.0419,-0.0426,34.65
2021-02-19 06:00:00,34.4595,34.7267,34.9938,34.6801,48.4887,34.7267,-0.0474,-0.0427,34.67
2021-02-19 05:00:00,34.4612,34.7277,34.9942,34.6808,46.9288,34.7277,-0.0557,-0.0416,34.63
2021-02-18 20:00:00,34.4676,34.7317,34.9958,34.6843,43.6286,34.7317,-0.0615,-0.038,34.55
2021-02-18 19:00:00,34.481,34.7367,34.9924,34.6936,41.8818,34.7367,-0.0599,-0.0322,34.51
2021-02-18 18:00:00,34.501,34.743,34.985,34.7062,42.8443,34.743,-0.0528,-0.0253,34.54
2021-02-18 17:00:00,34.5164,34.7477,34.979,34.7177,43.4851,34.7477,-0.0461,-0.0184,34.5599
2021-02-18 16:00:00,34.5303,34.752,34.9737,34.7286,43.4883,34.752,-0.0388,-0.0114,34.56
2021-02-18 15:00:00,34.5457,34.7567,34.9677,34.7402,45.9066,34.7567,-0.029,-0.0046,34.635
2021-02-18 14:00:00,34.5473,34.7572,34.9671,34.7474,45.6104,34.7572,-0.0238,0.0015,34.6274
2021-02-18 13:00:00,34.5533,34.7593,34.9652,34.7557,46.2744,34.7593,-0.0159,0.0078,34.648
2021-02-18 12:00:00,34.5546,34.7597,34.9648,34.7632,47.6382,34.7597,-0.0077,0.0137,34.6899
2021-02-18 11:00:00,34.5524,34.7588,34.9653,34.7682,46.92,34.7588,-0.0015,0.0191,34.67
2021-02-18 10:00:00,34.5545,34.7597,34.9648,34.775,47.5537,34.7597,0.0086,0.0243,34.69
2021-02-18 09:00:00,34.5503,34.7582,34.966,34.7808,51.2323,34.7582,0.0192,0.0282,34.8
2021-02-18 08:00:00,34.5438,34.7537,34.9635,34.7795,51.9384,34.7537,0.0214,0.0304,34.82
2021-02-18 07:00:00,34.5362,34.7479,34.9596,34.7767,49.9373,34.7479,0.0217,0.0327,34.76
2021-02-18 06:00:00,34.5344,34.7522,34.97,34.7779,49.5992,34.7522,0.028,0.0354,34.75
2021-02-18 05:00:00,34.5336,34.7569,34.9802,34.7798,50.2554,34.7569,0.0366,0.0373,34.77
2021-02-17 20:00:00,34.5238,34.7649,35.006,34.7805,52.9647,34.7649,0.045,0.0374,34.85
