date,Lower BBBAND,Middle BBAND,Upper BBAND,EMA,RSI,SMA,MACD,MACD_Signal,Closing Price
2021-02-22 20:00:00,69.3445,78.0326,86.7207,78.9104,65.9246,78.0326,2.3603,2.3872,85.86
2021-02-22 19:00:00,69.3305,77.8349,86.3394,78.6748,66.0062,77.8349,2.4537,2.3939,85.9
2021-02-22 18:00:00,69.3412,77.6366,85.9319,78.4299,65.1575,77.6366,2.533,2.3789,85.1
2021-02-22 17:00:00,69.3416,77.4533,85.5649,78.2038,64.7792,77.4533,2.679,2.3404,84.75
2021-02-22 16:00:00,69.3508,77.2774,85.204,77.9819,67.842,77.2774,2.8619,2.2558,86.23
2021-02-22 15:00:00,69.4701,77.0794,84.6888,77.7023,70.6841,77.0794,2.903,2.1042,87.51
2021-02-22 14:00:00,69.7154,76.8574,83.9994,77.3698,70.6084,76.8574,2.783,1.9046,87.43
2021-02-22 13:00:00,70.0004,76.6308,83.2611,77.0288,71.5851,76.6308,2.5974,1.685,87.86
2021-02-22 12:00:00,70.3743,76.3853,82.3962,76.6617,72.1097,76.3853,2.279,1.4568,88.09
2021-02-22 11:00:00,70.8916,76.1346,81.3775,76.2743,71.8895,76.1346,1.8161,1.2513,87.84
2021-02-22 10:00:00,71.4503,75.8628,80.2753,75.8822,65.8996,75.8628,1.2242,1.1101,82.1835
2021-02-22 09:00:00,71.4538,75.6859,79.918,75.6686,61.9794,75.6859,1.0269,1.0816,79.4
2021-02-22 08:00:00,71.293,75.5526,79.8122,75.5421,61.668,75.5526,1.0436,1.0952,79.2
2021-02-22 06:00:00,70.8642,75.3759,79.8876,75.4181,61.1519,75.3759,1.07,1.1081,78.87
2021-02-22 05:00:00,70.5182,75.2134,79.9086,75.3011,60.7104,75.2134,1.1218,1.1177,78.59
2021-02-19 20:00:00,70.2729,75.0702,79.8676,75.1896,62.7125,75.0702,1.2001,1.1166,79.39
2021-02-19 19:00:00,70.0693,74.9121,79.7548,75.0472,62.4997,74.9121,1.2011,1.0958,79.25
2021-02-19 18:00:00,69.8885,74.7579,79.6273,74.9047,61.8886,74.7579,1.1992,1.0695,78.85
2021-02-19 17:00:00,69.4841,74.5704,79.6567,74.771,61.8886,74.5704,1.22,1.037,78.85
2021-02-19 16:00:00,69.1255,74.3846,79.6436,74.6327,61.8735,74.3846,1.2288,0.9913,78.84
2021-02-19 15:00:00,68.7916,74.1979,79.6042,74.4901,62.6259,74.1979,1.2232,0.9319,79.15
2021-02-19 14:00:00,68.506,74.0071,79.5082,74.3322,62.262,74.0071,1.1667,0.8591,78.9
2021-02-19 13:00:00,68.2303,73.8192,79.4081,74.1773,61.5103,73.8192,1.1031,0.7822,78.39
2021-02-19 12:00:00,67.9515,73.6384,79.3253,74.0345,62.0344,73.6384,1.0578,0.7019,78.61
2021-02-19 11:00:00,67.7188,73.4564,79.194,73.8794,64.0848,73.4564,0.9622,0.613,79.45
2021-02-19 10:00:00,67.5481,73.2596,78.9712,73.6906,63.4051,73.2596,0.7406,0.5256,78.97
2021-02-19 09:00:00,67.4003,73.0756,78.7509,73.5116,59.1093,73.0756,0.496,0.4719,76.26
2021-02-19 08:00:00,67.1737,72.9369,78.7001,73.4184,58.7402,72.9369,0.4524,0.4659,76.05
2021-02-19 07:00:00,66.8968,72.7886,78.6803,73.3292,58.2103,72.7886,0.4115,0.4693,75.75
2021-02-19 05:00:00,66.5996,72.6386,78.6775,73.2472,57.5673,72.6386,0.3839,0.4837,75.39
2021-02-18 20:00:00,66.3285,72.4976,78.6666,73.1745,56.4509,72.4976,0.3798,0.5086,74.78
2021-02-18 19:00:00,66.0457,72.3624,78.6791,73.1201,57.4251,72.3624,0.4311,0.5409,75.18
2021-02-18 18:00:00,65.8041,72.2256,78.6471,73.0503,57.189,72.2256,0.4496,0.5683,75.05
2021-02-18 17:00:00,65.5403,72.0831,78.6258,72.9825,57.4058,72.0831,0.4799,0.598,75.14
2021-02-18 16:00:00,65.4156,71.9724,78.5292,72.9094,57.4533,71.9724,0.5024,0.6275,75.16
2021-02-18 15:00:00,65.277,71.8546,78.4321,72.8331,58.551,71.8546,0.5218,0.6588,75.62
2021-02-18 14:00:00,65.1548,71.7286,78.3024,72.7386,57.7574,71.7286,0.4922,0.693,75.16
2021-02-18 13:00:00,65.0284,71.6091,78.1897,72.6565,56.8568,71.6091,0.494,0.7432,74.65
2021-02-18 12:00:00,64.9033,71.4986,78.0939,72.589,57.2806,71.4986,0.5411,0.8056,74.83
2021-02-18 11:00:00,64.7783,71.3817,77.9852,72.513,55.7117,71.3817,0.575,0.8717,73.96
2021-02-18 10:00:00,64.6403,71.2767,77.9131,72.4639,58.4282,71.2767,0.6985,0.9459,75.08
2021-02-18 09:00:00,64.5585,71.1634,77.7683,72.3753,57.3697,71.1634,0.7319,1.0077,74.5
2021-02-18 08:00:00,64.4798,71.0626,77.6453,72.3032,57.5187,71.0626,0.8229,1.0767,74.56
2021-02-18 07:00:00,64.4374,70.9732,77.509,72.2267,57.8634,70.9732,0.921,1.1401,74.7
2021-02-18 06:00:00,64.4067,70.8832,77.3597,72.1429,58.8798,70.8832,1.0186,1.1949,75.11
2021-02-17 20:00:00,64.4044,70.7931,77.1817,72.0423,58.9543,70.7931,1.0867,1.2389,75.14
2021-02-17 19:00:00,64.3842,70.6891,76.9939,71.9373,59.1752,70.6891,1.1546,1.277,75.23
2021-02-17 18:00:00,64.3785,70.5852,76.7919,71.8257,59.4673,70.5852,1.2154,1.3076,75.35
2021-02-17 17:00:00,64.379,70.4761,76.5731,71.7062,59.2198,70.4761,1.263,1.3306,75.2
2021-02-17 16:00:00,64.3767,70.3661,76.3555,71.5878,59.023,70.3661,1.3208,1.3475,75.08
2021-02-17 15:00:00,64.3884,70.2622,76.136,71.4694,60.2623,70.2622,1.3875,1.3542,75.6
2021-02-17 14:00:00,64.4295,70.1481,75.8667,71.3294,60.7036,70.1481,1.3995,1.3459,75.7831
2021-02-17 13:00:00,64.4946,70.0313,75.5681,71.1784,60.0546,70.0313,1.3758,1.3325,75.37
2021-02-17 12:00:00,64.5595,69.9247,75.2899,71.0363,60.4586,69.9247,1.3677,1.3217,75.54
2021-02-17 11:00:00,64.6608,69.8237,74.9866,70.8837,61.4389,69.8237,1.32,1.3102,75.95
2021-02-17 10:00:00,64.812,69.7225,74.6329,70.7119,58.0603,69.7225,1.1983,1.3078,73.8784
2021-02-17 09:00:00,64.8594,69.6493,74.4392,70.6046,57.1543,69.6493,1.2364,1.3351,73.37
2021-02-17 08:00:00,64.8979,69.589,74.2801,70.5108,58.4486,69.589,1.3189,1.3598,73.9
2021-02-17 07:00:00,64.9669,69.5231,74.0794,70.396,56.6643,69.5231,1.351,1.37,72.92
2021-02-17 06:00:00,64.9947,69.4643,73.9339,70.3104,57.4816,69.4643,1.4721,1.3748,73.25
2021-02-17 05:00:00,65.0379,69.3976,73.7573,70.2107,59.3963,69.3976,1.5716,1.3505,74.0
2021-02-16 20:00:00,65.1176,69.3113,73.505,70.0823,59.3963,69.3113,1.5994,1.2952,74.0
