date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-22 20:00:00,11.1103,11.4715,11.8328,11.5587,55.5801,11.4715,0.0536,0.0769,11.77
2021-02-22 17:00:00,11.0986,11.4532,11.8078,11.5441,55.0018,11.4532,0.0478,0.0703,11.74
2021-02-22 16:00:00,11.1003,11.4402,11.7801,11.5306,51.3265,11.4402,0.0422,0.064,11.56
2021-02-22 15:00:00,11.0808,11.4282,11.7757,11.5286,55.4622,11.4282,0.0367,0.0734,11.73
2021-02-22 14:00:00,11.0898,11.4189,11.748,11.5147,54.418,11.4189,0.0276,0.0669,11.68
2021-02-22 13:00:00,11.094,11.4165,11.7391,11.5033,54.9158,11.4165,0.0177,0.0628,11.7
2021-02-22 12:00:00,11.094,11.4165,11.7391,11.4897,55.1597,11.4165,0.0065,0.0546,11.71
2021-02-22 11:00:00,11.0986,11.4145,11.7305,11.4745,55.7582,11.4145,-0.0056,0.0423,11.735
2021-02-22 10:00:00,11.106,11.4117,11.7175,11.4565,56.1113,11.4117,-0.0175,0.0235,11.75
2021-02-22 09:00:00,11.1155,11.4084,11.7012,11.4363,50.6762,11.4084,-0.0278,-0.0024,11.48
2021-02-22 08:00:00,11.1155,11.409,11.7026,11.4333,49.7856,11.409,-0.0341,-0.008,11.44
2021-02-22 05:00:00,11.1152,11.4124,11.7095,11.4328,50.67,11.4124,-0.0406,-0.0108,11.48
2021-02-19 20:00:00,11.1139,11.4152,11.7165,11.4296,51.1088,11.4152,-0.0481,-0.0184,11.5
2021-02-19 16:00:00,11.114,11.4149,11.7158,11.4247,50.696,11.4149,-0.0555,-0.0299,11.48
2021-02-19 15:00:00,11.1138,11.4142,11.7146,11.4209,48.3791,11.4142,-0.0619,-0.0421,11.37
2021-02-19 14:00:00,11.1165,11.42,11.7236,11.4244,50.2466,11.42,-0.0669,-0.0458,11.46
2021-02-19 13:00:00,11.1053,11.4293,11.7533,11.422,48.4292,11.4293,-0.0722,-0.059,11.375
